canonical_researchr_id,name,mapped_name_for_matching,pc_name_norm,openalex_id,orcid,openalex_matched,match_source,match_confidence,needs_manual_review,review_reason,n_evidence_rows,n_citing_papers,n_cited_works,n_openalex_ids,candidate_openalex_ids,candidate_ref_author_names,candidate_orcids,n_pc_rows,n_conferences,first_observed_pc_year,last_observed_pc_year
assiamahboubi,Assia Mahboubi,Assia Mahboubi,assia mahboubi,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,20,18,10,2,"['A5034173374', 'A5113674451']",['Assia Mahboubi'],['0000-0002-0312-5461'],2,2,2022,2024
bartjacobs,Bart Jacobs,Bart Jacobs,bart jacobs,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,244,153,63,2,"['A5042359645', 'A5102972733']",['Bart Jacobs'],"['0000-0002-0740-0336', '0000-0002-3605-249X']",2,1,2017,2021
billharris,Bill Harris,William Harris,william harris,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
brentyorgey,Brent Yorgey,Brent Yorgey,brent yorgey,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2024,2024
cameronfreer,Cameron Freer,Cameron Freer,cameron freer,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2024,2024
casperbach,Casper Bach,Casper Bach,casper bach,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,2,2024,2024
cezaradragoi,Cezara Drăgoi,Cezara Drăgoi,cezara dragoi,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,57,36,13,2,"['A5089014944', 'A5105116463']",['Cezara Drăgoi'],[],4,3,2017,2024
chaowang3,Chao Wang,Chao Wang,chao wang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,131,86,53,16,"['A5079094062', 'A5100406852', 'A5100406863', 'A5100406890', 'A5100406906', 'A5100406941', 'A5100406950', 'A5100406988', 'A5100407017', 'A5100407035', 'A5100407078', 'A5100407158', 'A5100773459', 'A5101934907', 'A5115076700', 'A5115602540']",['Chao Wang'],"['0000-0001-5020-961X', '0000-0001-5499-3421', '0000-0001-6710-227X', '0000-0001-7398-1127', '0000-0001-8452-1214', '0000-0002-1083-109X', '0000-0002-1560-6182', '0000-0002-4548-3697', '0000-0002-6251-7908', '0000-0002-6357-3661', '0000-0002-7427-793X', '0000-0002-8779-4215', '0000-0003-0057-5341', '0000-0003-4887-923X', '0009-0000-8858-4968', '0009-0003-4684-3943']",1,1,2023,2023
charlessutton,Charles Sutton,Charles Sutton,charles sutton,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,59,32,20,2,"['A5028501178', 'A5042489298']",['Charles Sutton'],['0000-0002-0041-3820'],2,2,2017,2023
chending,Chen Ding,Chen Ding,chen ding,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,38,16,32,2,"['A5002777604', 'A5050227516']",['Chen Ding'],"['0000-0002-9195-2255', '0000-0003-4968-6659']",1,1,2024,2024
chenglongwang,Chenglong Wang,Chenglong Wang,chenglong wang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,100,65,19,5,"['A5063667052', 'A5100367807', 'A5100367813', 'A5100367824', 'A5100367825']",['Chenglong Wang'],"['0000-0001-6576-9214', '0000-0002-5351-967X', '0000-0002-5933-6620', '0000-0003-2262-4167', '0000-0003-2391-0923']",2,1,2022,2024
chriscasinghino1,Chris Casinghino,Chris Casinghino,chris casinghino,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,35,26,9,2,"['A5021193410', 'A5115826665']",['Chris Casinghino'],['0009-0005-6689-9463'],1,1,2025,2025
christianwimmer,Christian Wimmer,Christian Wimmer,christian wimmer,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,95,51,31,2,"['A5013620492', 'A5099309884']",['Christian Wimmer'],"['0000-0003-4691-4265', '0009-0003-3213-9306']",2,2,2024,2025
colingordon,Colin Gordon,Colin Gordon,colin gordon,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,8,3,2018,2025
cormacflanagan,Cormac Flanagan,Cormac Flanagan,cormac flanagan,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,463,276,80,2,"['A5018139743', 'A5110315014']",['Cormac Flanagan'],['0000-0002-1828-3120'],2,2,2021,2025
cristalopes,Crista Lopes,Crista Lopes,crista lopes,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,3,1,2021,2023
dalalalrajeh1,Dalal Alrajeh,Dalal Alrajeh,dalal alrajeh,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
danbarowy,Dan Barowy,Dan Barowy,dan barowy,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,3,2,2020,2025
danghica,Dan Ghica,Dan Ghica,dan ghica,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
danadrachslercohen,Dana Drachsler Cohen,Dana Drachsler Cohen,dana drachsler cohen,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,6,2,2019,2025
danfrumin1,Daniel Frumin,Daniel Frumin,daniel frumin,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
danieljackson,Daniel Jackson,Daniel Jackson,daniel jackson,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,66,36,29,2,"['A5101853727', 'A5101853728']",['Daniel Jackson'],"['0000-0002-1097-0997', '0000-0002-8833-9476']",1,1,2021,2021
davesands,Dave Sands,Dave Sands,dave sands,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2018,2018
davidnaumann,David Naumann,David Naumann,david naumann,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2019,2023
davidwalker,David Walker,David Walker,david walker,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,304,195,77,3,"['A5011939986', 'A5034009645', 'A5049454219']",['David Walker'],"['0000-0002-1360-6330', '0000-0002-8583-4279', '0000-0003-3681-149X']",4,3,2018,2024
diwang,Di Wang,Di Wang,di wang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,91,67,21,3,"['A5091000845', 'A5100401412', 'A5100401482']",['Di Wang'],"['0000-0001-9740-4826', '0000-0002-2418-7987', '0000-0003-4908-0243']",2,2,2024,2024
edwardaftandilian,Eddie Aftandilian,Eddie Aftandilian,eddie aftandilian,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,2,2017,2025
eddyzhengzhang,Eddy (Zheng) Zhang,Eddy (Zheng) Zhang,eddy (zheng) zhang,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2019,2019
eliotmoss,Eliot Moss,Eliot Moss,eliot moss,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2022,2022
erikmeijer,Erik Meijer,Erik Meijer,erik meijer,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,81,67,23,3,"['A5053775941', 'A5074555535', 'A5103175875']",['Erik Meijer'],"['0000-0001-6779-0295', '0000-0001-7959-4670', '0000-0002-4238-5098']",2,1,2022,2024
frankfu,Frank Fu,Frank Fu,frank fu,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
gailkaiser,Gail Kaiser,Gail Kaiser,gail kaiser,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,4,2,2019,2024
ganeshgopalakrishnan,Ganesh Gopalakrishnan,Ganesh Gopalakrishnan,ganesh gopalakrishnan,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,92,46,29,2,"['A5069846379', 'A5103146139']",['Ganesh Gopalakrishnan'],"['0000-0002-3705-0031', '0000-0002-4161-9278']",1,1,2025,2025
gangtan,Gang (Gary) Tan,Gang (Gary) Tan,gang (gary) tan,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,2,2023,2025
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,gilbert louis bernstein,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
guilhemejaber,Guilhème Jaber,Guilhème Jaber,guilheme jaber,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2024,2024
harryxu,Guoqing Harry Xu,Guoqing Harry Xu,guoqing harry xu,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,2,2018,2019
guylsteelejr,Guy L. Steele Jr.,Guy L. Steele Jr.,guy l steele jr,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,hans-j boehm,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2017,2017
harleydeadesiii,Harley D. Eades III,Harley D. Eades III,harley d eades iii,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2021,2025
hongjinliang,Hongjin Liang,Hongjin Liang,hongjin liang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,98,56,16,2,"['A5102821301', 'A5113904546']",['Hongjin Liang'],['0000-0003-2630-6756'],5,3,2019,2024
hsiangshangko,Hsiang-Shang ‘Josh’ Ko,Hsiang-Shang ‘Josh’ Ko,hsiang-shang 'josh' ko,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
jameschapman1,James Chapman,James Chapman,james chapman,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,48,39,15,2,"['A5027681613', 'A5071284944']",['James Chapman'],"['0000-0001-9036-8252', '0000-0002-9850-0403']",1,1,2023,2023
jimlarus,James Larus,James Larus,james larus,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,3,2,2022,2025
janhoffmann,Jan Hoffmann,Jan Hoffmann,jan hoffmann,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,367,133,52,2,"['A5101496943', 'A5103328158']",['Jan Hoffmann'],['0000-0001-8326-0788'],8,3,2017,2025
jasminblanchette1,Jasmin Blanchette,Jasmin Blanchette,jasmin blanchette,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
jeanyang,Jean Yang,Jean Yang,jean yang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,61,40,10,3,"['A5028524705', 'A5105875045', 'A5112869680']",['Jean Yang'],['0000-0002-5271-2603'],1,1,2018,2018
jeffhuang,Jeff Huang,Jeff Huang,jeff huang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,131,72,34,2,"['A5052381120', 'A5103035835']",['Jeff Huang'],"['0000-0002-3453-5666', '0000-0003-1393-0752']",5,2,2017,2024
jennadivincenzowise,Jenna DiVincenzo (Wise),Jenna DiVincenzo (Wise),jenna divincenzo (wise),,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
jeremygibbons,Jeremy Gibbons,Jeremy Gibbons,jeremy gibbons,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,103,72,52,2,"['A5086558126', 'A5108741201']",['Jeremy Gibbons'],['0000-0002-8426-9917'],3,2,2023,2024
jialuzhang,Jialu Zhang,Jialu Zhang,jialu zhang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,7,4,5,3,"['A5014754883', 'A5100764599', 'A5100764602']",['Jialu Zhang'],"['0000-0002-6884-9663', '0009-0003-8193-0719', '0009-0004-7114-3372']",1,1,2025,2025
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,jonathan ragan-kelley,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2018,2023
julienverlaguet,Julien Verlaguet,Julien Verlaguet,julien verlaguet,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2017,2017
juneyounglee2,Juneyoung Lee,Juneyoung Lee,juneyoung lee,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,76,45,10,2,"['A5009604611', 'A5100318692']",['Juneyoung Lee'],"['0000-0001-8073-9304', '0000-0002-8152-9330']",1,1,2025,2025
junfengyang,Junfeng Yang,Junfeng Yang,junfeng yang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,69,59,29,3,"['A5056288677', 'A5101783316', 'A5112881523']",['Junfeng Yang'],"['0000-0001-7771-0260', '0000-0003-1981-6424', '0009-0004-9396-7882']",1,1,2017,2017
kathleenfisher,Kathleen Fisher,Kathleen Fisher,kathleen fisher,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,79,41,35,2,"['A5047373593', 'A5056099984']",['Kathleen Fisher'],"['0000-0001-5249-2615', '0000-0001-6326-7157']",3,2,2017,2019
kewang,Ke Wang,Ke Wang,ke wang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,34,26,15,8,"['A5001578135', 'A5052144233', 'A5068556410', 'A5100360109', 'A5100360129', 'A5100360130', 'A5100360148', 'A5101445828']",['Ke Wang'],"['0000-0001-6781-981X', '0000-0002-1956-5031', '0000-0002-8021-4951', '0000-0002-8088-607X', '0000-0003-0844-5023', '0000-0003-1945-6596', '0000-0003-2300-0743', '0000-0003-2460-7758']",4,1,2020,2025
kedarnamjoshi,Kedar Namjoshi,Kedar Namjoshi,kedar namjoshi,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2021,2021
kimbruce,Kim Bruce,Kim Bruce,kim bruce,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2017,2017
klausvgleissenthall,Klaus v. Gleissenthall,Klaus v. Gleissenthall,klaus v gleissenthall,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2022,2024
konstantinoskallas,Konstantinos Kallas,Konstantinos Kallas,konstantinos kallas,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
kristofmarussy,Kristóf Marussy,Kristóf Marussy,kristof marussy,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
kuenbanghoufavonia,Kuen-Bang Hou (Favonia),Kuen-Bang Hou (Favonia),kuen-bang hou (favonia),,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,2,2021,2024
liangtingchen,Liang-Ting Chen,Liang-Ting Chen,liang-ting chen,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2023,2023
lingmingzhang1,Lingming Zhang,Lingming Zhang,lingming zhang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,109,55,53,3,"['A5028946205', 'A5043546718', 'A5113160035']",['Lingming Zhang'],"['0000-0001-5175-2702', '0000-0002-8681-0287']",1,1,2024,2024
luzhang,Lu Zhang,Lu Zhang,lu zhang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,132,103,52,8,"['A5100388550', 'A5100388576', 'A5100388581', 'A5100388597', 'A5100753041', 'A5101556967', 'A5101660937', 'A5115587872']",['Lu Zhang'],"['0000-0001-5115-4518', '0000-0001-8304-7055', '0000-0001-8567-508X', '0000-0002-0385-2327', '0000-0002-1193-4429', '0000-0002-1838-7042', '0000-0002-4933-6889', '0009-0008-0452-6049']",1,1,2017,2017
maazbinsafeerahmad,Maaz Bin Safeer Ahmad,Maaz Bin Safeer Ahmad,maaz bin safeer ahmad,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
mahmuttaylankandemir,Mahmut Taylan Kandemir,Mahmut Taylan Kandemir,mahmut taylan kandemir,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2021,2025
manuelserrano,Manuel Serrano,Manuel Serrano,manuel serrano,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,40,23,20,2,"['A5029403444', 'A5102890645']",['Manuel Serrano'],"['0000-0002-5240-1610', '0000-0003-0962-5659']",3,2,2022,2025
mariekerjean1,Marie Kerjean,Marie Kerjean,marie kerjean,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
markjones,Mark Jones,Mark Jones,mark jones,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2017,2017
martinabadi,Martin Abadi,Martin Abadi,martin abadi,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2017,2017
martinrinard,Martin C. Rinard,Martin C. Rinard,martin c rinard,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2019,2021
martinerwig,Martin Erwig,Martin Erwig,martin erwig,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,80,38,27,2,"['A5078733350', 'A5105469807']",['Martin Erwig'],['0000-0002-7471-4554'],2,2,2017,2019
matthewhammer,Matthew Hammer,Matthew Hammer,matthew hammer,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2019,2019
matthewparkinson,Matthew J. Parkinson,Matthew J. Parkinson,matthew j parkinson,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,4,2,2019,2025
mengwang,Meng Wang,Meng Wang,meng wang,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,71,43,29,3,"['A5074307489', 'A5083328834', 'A5100377147']",['Meng Wang'],"['0000-0001-7780-630X', '0000-0002-3094-7735', '0009-0008-1749-7929']",1,1,2024,2024
michaeldadams,Michael D. Adams,Michael D. Adams,michael d adams,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,32,23,18,2,"['A5014296250', 'A5101495354']",['Michael D. Adams'],"['0000-0001-6163-7062', '0000-0003-3160-6972']",3,2,2019,2023
michaeloboyle,Michael F. P. O'Boyle,Michael F. P. O'Boyle,michael f p o'boyle,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,3,1,2021,2025
michaelfranz,Michael Franz,Michael Franz,michael franz,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,55,41,27,2,"['A5103069673', 'A5107250730']",['Michael Franz'],"['0000-0001-5911-2275', '0000-0003-0112-709X']",1,1,2025,2025
michaelhicks,Michael Hicks,Michael Hicks,michael hicks,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,295,202,80,2,"['A5046625836', 'A5111458229']",['Michael Hicks'],['0000-0002-2759-9223'],4,3,2021,2024
