researcher_id,name,openalex_id,match_confidence,orcid_org_comparison,ideal_openalex_case,raw_first_publication_fetch_status,raw_first_publication_year,raw_first_publication_work_id,first_cs_publication_fetch_status,first_cs_publication_year,first_cs_publication_work_id,author_profile_fetch_status,h_index,h_index_fetch_date
alexanderklew,Alexander K. Lew,A5056016273,YELLOW,orcid_org_not_unique,True,cached_ok,2019,https://openalex.org/W2902895875,fetched_ok,2019,https://openalex.org/W2902895875,cached_ok,7,2026-06-12
alexandrabugariu,Alexandra Bugariu,A5064460214,GREEN,orcid_agrees,True,cached_ok,2018,https://openalex.org/W2888538076,fetched_ok,2018,https://openalex.org/W2888538076,cached_ok,3,2026-06-12
alexandrajimborean,Alexandra Jimborean,A5039379608,YELLOW,orcid_org_not_unique,True,cached_ok,2010,https://openalex.org/W2245941984,fetched_ok,2010,https://openalex.org/W2245941984,cached_ok,15,2026-06-12
alexandremoine,Alexandre Moine,A5022449209,GREEN,orcid_agrees,True,cached_ok,1993,https://openalex.org/W2612162486,fetched_ok,1993,https://openalex.org/W2980228409,cached_ok,7,2026-06-12
alexeygotsman,Alexey Gotsman,A5068242118,GREEN,orcid_agrees,True,cached_ok,2005,https://openalex.org/W2083753457,fetched_ok,2005,https://openalex.org/W2083753457,cached_ok,25,2026-06-12
alvincheung,Alvin Cheung,A5059427197,YELLOW,orcid_org_not_unique,False,cached_ok,1968,https://openalex.org/W2229269385,fetched_ok,1973,https://openalex.org/W1979341333,cached_ok,34,2026-06-12
amalahmed,Amal Ahmed,A5084250644,YELLOW,orcid_org_not_unique,False,cached_ok,2002,https://openalex.org/W122648455,fetched_ok,2002,https://openalex.org/W122648455,cached_ok,32,2026-06-12
amintimany,Amin Timany,A5030831735,GREEN,orcid_agrees,True,cached_ok,2014,https://openalex.org/W2519035500,fetched_ok,2014,https://openalex.org/W2519035500,cached_ok,13,2026-06-12
amosrobinson,Amos Robinson,A5027828112,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,1969,https://openalex.org/W2062762431,fetched_ok,1972,https://openalex.org/W1963863191,cached_ok,2,2026-06-12
amrsabry,Amr Sabry,A5084476883,YELLOW,orcid_org_not_unique,True,cached_ok,1984,https://openalex.org/W2026490863,fetched_ok,1984,https://openalex.org/W2026490863,cached_ok,27,2026-06-12
anamilanova,Ana Milanova,A5083326011,GREEN,orcid_agrees,True,cached_ok,2000,https://openalex.org/W3111188899,fetched_ok,2000,https://openalex.org/W3111188899,cached_ok,19,2026-06-12
anasokolova,Ana Sokolova,A5074223895,YELLOW,orcid_agrees,False,cached_ok,2000,https://openalex.org/W2992588304,fetched_ok,2000,https://openalex.org/W2992588304,cached_ok,20,2026-06-12
andersmiltner1,Anders Miltner,A5001856793,GREEN,orcid_agrees,True,cached_ok,2017,https://openalex.org/W2764230631,fetched_ok,2017,https://openalex.org/W2764230631,cached_ok,5,2026-06-12
andersmoller,Anders Møller,A5103189175,YELLOW,orcid_org_not_unique,False,cached_ok,1996,https://openalex.org/W4414395088,fetched_ok,1998,https://openalex.org/W1818793721,cached_ok,39,2026-06-12
andreavezzosi2,Andrea Vezzosi,A5066208562,YELLOW,orcid_org_not_unique,True,cached_ok,2014,https://openalex.org/W2148595046,fetched_ok,2014,https://openalex.org/W2148595046,cached_ok,9,2026-06-12
andreasabel,Andreas Abel,A5008534457,YELLOW,orcid_org_not_unique,True,cached_ok,1986,https://openalex.org/W812979081,fetched_ok,2000,https://openalex.org/W1736942297,cached_ok,28,2026-06-12
andreaspavlogiannis1,Andreas Pavlogiannis,A5022252401,YELLOW,orcid_agrees,False,cached_ok,2010,https://openalex.org/W1494218382,fetched_ok,2010,https://openalex.org/W1494218382,cached_ok,18,2026-06-12
andreaspodelski,Andreas Podelski,A5062411838,YELLOW,orcid_org_not_unique,True,cached_ok,1989,https://openalex.org/W409005790,fetched_ok,1989,https://openalex.org/W788416784,cached_ok,42,2026-06-12
andreasrossberg,Andreas Rossberg,A5054382677,GREEN,orcid_agrees,True,cached_ok,2002,https://openalex.org/W1534543197,fetched_ok,2002,https://openalex.org/W1534543197,cached_ok,18,2026-06-12
andreaszeller,Andreas Zeller,A5051672229,YELLOW,orcid_org_not_unique,False,cached_ok,1959,https://openalex.org/W2554558475,fetched_ok,1994,https://openalex.org/W28027420,cached_ok,66,2026-06-12
andreeacostea,Andreea Costea,A5082345697,YELLOW,orcid_org_not_unique,True,cached_ok,2014,https://openalex.org/W1991259672,fetched_ok,2014,https://openalex.org/W1991259672,cached_ok,5,2026-06-12
andrejbauer,Andrej Bauer,A5068602858,YELLOW,orcid_agrees,False,cached_ok,1996,https://openalex.org/W1516397683,fetched_ok,1996,https://openalex.org/W1516397683,cached_ok,15,2026-06-12
andreserbsen,Andres Erbsen,A5082766906,GREEN,orcid_agrees,True,cached_ok,2016,https://openalex.org/W2951421496,fetched_ok,2016,https://openalex.org/W2951421496,cached_ok,7,2026-06-12
andresloh,Andres Löh,A5027537142,YELLOW,orcid_agrees,False,cached_ok,2000,https://openalex.org/W2115891727,fetched_ok,2000,https://openalex.org/W2115891727,cached_ok,24,2026-06-12
andrewadams,Andrew Adams,A5082293572,YELLOW,orcid_org_not_unique,True,cached_ok,1946,https://openalex.org/W2094186097,fetched_ok,1949,https://openalex.org/W4248545589,cached_ok,60,2026-06-12
andrewkhirsch,Andrew K. Hirsch,A5015733309,GREEN,orcid_agrees,True,cached_ok,2012,https://openalex.org/W1622004966,fetched_ok,2012,https://openalex.org/W1622004966,cached_ok,3,2026-06-12
andrewlumsdaine1,Andrew Lumsdaine,A5074260102,YELLOW,orcid_agrees,False,cached_ok,1987,https://openalex.org/W1990502665,fetched_ok,1987,https://openalex.org/W1990502665,cached_ok,46,2026-06-12
andrewpitts,Andrew M. Pitts,A5035484728,GREEN,orcid_agrees,True,cached_ok,1980,https://openalex.org/W4243933121,fetched_ok,1980,https://openalex.org/W4243933121,cached_ok,36,2026-06-12
andrewmyers,Andrew Myers,A5101697551,YELLOW,orcid_org_not_unique,True,cached_ok,1990,https://openalex.org/W2950120457,fetched_ok,1995,https://openalex.org/W4239174316,cached_ok,17,2026-06-12
andrewtolmach,Andrew Tolmach,A5046980155,GREEN,orcid_agrees,True,cached_ok,1990,https://openalex.org/W2079978872,fetched_ok,1990,https://openalex.org/W2079978872,cached_ok,22,2026-06-12
andrewappel,Andrew W. Appel,A5004766305,YELLOW,orcid_org_not_unique,False,cached_ok,1985,https://openalex.org/W2004468084,fetched_ok,1985,https://openalex.org/W2004468084,cached_ok,53,2026-06-12
andreyrybalchenko,Andrey Rybalchenko,A5044737952,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,2002,https://openalex.org/W40054448,fetched_ok,2002,https://openalex.org/W40054448,cached_ok,40,2026-06-12
andrzejfilinski,Andrzej Filinski,A5048548468,YELLOW,orcid_agrees,False,cached_ok,1990,https://openalex.org/W2293168108,fetched_ok,1990,https://openalex.org/W2293168108,cached_ok,15,2026-06-12
andreplatzer,André Platzer,A5080481427,GREEN,orcid_agrees,True,cached_ok,2006,https://openalex.org/W2583565909,fetched_ok,2006,https://openalex.org/W2583565909,cached_ok,38,2026-06-12
andresgoens1,Andrés Goens,A5045703198,GREEN,orcid_agrees,True,cached_ok,2014,https://openalex.org/W1977079484,fetched_ok,2014,https://openalex.org/W1977079484,cached_ok,11,2026-06-12
andygill,Andy Gill,A5029124439,YELLOW,orcid_org_not_unique,False,cached_ok,1992,https://openalex.org/W2727348977,fetched_ok,1992,https://openalex.org/W2727348977,cached_ok,16,2026-06-12
anilmadhavapeddy,Anil Madhavapeddy,A5004447568,YELLOW,orcid_agrees,False,cached_ok,2003,https://openalex.org/W72374092,fetched_ok,2003,https://openalex.org/W72374092,cached_ok,27,2026-06-12
anithagollamudi,Anitha Gollamudi,A5047325283,GREEN,orcid_agrees,True,cached_ok,2016,https://openalex.org/W3006997294,fetched_ok,2016,https://openalex.org/W3006997294,cached_ok,4,2026-06-12
ankushdas1,Ankush Das,A5030491260,YELLOW,orcid_org_not_unique,True,cached_ok,1971,https://openalex.org/W2417028680,fetched_ok,1971,https://openalex.org/W2417028680,cached_ok,8,2026-06-12
ankushdesai1,Ankush Desai,A5042181450,YELLOW,orcid_org_not_unique,True,cached_ok,2011,https://openalex.org/W1496945535,fetched_ok,2011,https://openalex.org/W1496945535,cached_ok,11,2026-06-12
annettebieniusa,Annette Bieniusa,A5050660693,YELLOW,orcid_org_not_unique,True,cached_ok,2008,https://openalex.org/W2144161217,fetched_ok,2008,https://openalex.org/W2144161217,cached_ok,11,2026-06-12
antonpodkopaev,Anton Podkopaev,A5082235493,YELLOW,orcid_org_not_unique,False,cached_ok,2015,https://openalex.org/W612875727,fetched_ok,2015,https://openalex.org/W612875727,cached_ok,7,2026-06-12
aravindmachiry,Aravind Machiry,A5071486684,YELLOW,orcid_org_not_unique,True,cached_ok,2013,https://openalex.org/W2013856010,fetched_ok,2013,https://openalex.org/W2013856010,cached_ok,18,2026-06-12
arjunguha,Arjun Guha,A5044042294,YELLOW,orcid_org_not_unique,False,cached_ok,2005,https://openalex.org/W2003589918,fetched_ok,2006,https://openalex.org/W1656293736,cached_ok,30,2026-06-12
arjunradhakrishna,Arjun Radhakrishna,A5000188805,YELLOW,orcid_agrees,False,cached_ok,2009,https://openalex.org/W2951346537,fetched_ok,2009,https://openalex.org/W2951346537,cached_ok,17,2026-06-12
armandosolarlezama,Armando Solar-Lezama,A5010786661,YELLOW,orcid_org_not_unique,False,cached_ok,2005,https://openalex.org/W1997199152,fetched_ok,2005,https://openalex.org/W1997199152,cached_ok,44,2026-06-12
arnaudspiwack,Arnaud Spiwack,A5019246823,YELLOW,orcid_agrees,False,cached_ok,2004,https://openalex.org/W2745654698,fetched_ok,2004,https://openalex.org/W2745654698,cached_ok,6,2026-06-12
artemkhyzha1,Artem Khyzha,A5029787951,GREEN,orcid_agrees,True,cached_ok,2012,https://openalex.org/W2337548567,fetched_ok,2012,https://openalex.org/W2337548567,cached_ok,7,2026-06-12
artempelenitsyn,Artem Pelenitsyn,A5056623735,GREEN,orcid_agrees,True,cached_ok,2012,https://openalex.org/W2556302023,fetched_ok,2012,https://openalex.org/W2556302023,cached_ok,4,2026-06-12
arthurazevedodeamorim,Arthur Azevedo de Amorim,A5086486652,YELLOW,orcid_agrees,False,cached_ok,2007,https://openalex.org/W2292802925,fetched_ok,2007,https://openalex.org/W2292802925,cached_ok,11,2026-06-12
arthurchargueraud,Arthur Charguéraud,A5025324126,GREEN,orcid_agrees,True,cached_ok,2005,https://openalex.org/W2616233669,fetched_ok,2005,https://openalex.org/W2616233669,cached_ok,20,2026-06-12
aseemrastogi,Aseem Rastogi,A5102801489,GREEN,orcid_agrees,True,cached_ok,2012,https://openalex.org/W205705307,fetched_ok,2012,https://openalex.org/W205705307,cached_ok,22,2026-06-12
ashishtiwari,Ashish Tiwari,A5086308451,YELLOW,orcid_org_not_unique,False,cached_ok,1995,https://openalex.org/W2213753973,fetched_ok,1995,https://openalex.org/W2213753973,cached_ok,48,2026-06-12
aslanaskarov,Aslan Askarov,A5023772821,YELLOW,orcid_agrees,False,cached_ok,1987,https://openalex.org/W1994525770,fetched_ok,1987,https://openalex.org/W1994525770,cached_ok,18,2026-06-12
atsushiigarashi,Atsushi Igarashi,A5077485499,YELLOW,orcid_org_not_unique,True,cached_ok,1963,https://openalex.org/W2334751080,fetched_ok,1983,https://openalex.org/W2063922688,cached_ok,27,2026-06-12
atsushiohori,Atsushi Ohori,A5046674857,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,1983,https://openalex.org/W2133277328,fetched_ok,1983,https://openalex.org/W2133277328,cached_ok,19,2026-06-12
aurelebarriere,Aurèle Barrière,A5041214466,GREEN,orcid_agrees,True,cached_ok,2018,https://openalex.org/W2804741915,fetched_ok,2018,https://openalex.org/W2804741915,cached_ok,4,2026-06-12
avikchaudhuri,Avik Chaudhuri,A5065727495,YELLOW,orcid_org_not_unique,False,cached_ok,2002,https://openalex.org/W2753622424,fetched_ok,2002,https://openalex.org/W2753622424,cached_ok,13,2026-06-12
awsalbarghouthi,Aws Albarghouthi,A5050593520,YELLOW,orcid_agrees,False,cached_ok,2010,https://openalex.org/W2130550680,fetched_ok,2010,https://openalex.org/W2130550680,cached_ok,23,2026-06-12
ayalzaks,Ayal Zaks,A5109958961,YELLOW,orcid_org_not_unique,False,cached_ok,1998,https://openalex.org/W2114919740,fetched_ok,1998,https://openalex.org/W2043610469,cached_ok,18,2026-06-12
aymericfromherz,Aymeric Fromherz,A5039132232,GREEN,orcid_agrees,True,cached_ok,2017,https://openalex.org/W2568432792,fetched_ok,2017,https://openalex.org/W2568432792,cached_ok,8,2026-06-12
azadehfarzan,Azadeh Farzan,A5016276143,GREEN,orcid_agrees,True,cached_ok,2004,https://openalex.org/W2789196474,fetched_ok,2004,https://openalex.org/W2789196474,cached_ok,23,2026-06-12
azalearaad,Azalea Raad,A5083721882,GREEN,orcid_agrees,True,cached_ok,2011,https://openalex.org/W2096588317,fetched_ok,2011,https://openalex.org/W2096588317,cached_ok,18,2026-06-12
baberrehman,Baber Rehman,A5029199272,GREEN,orcid_agrees,True,cached_ok,2020,https://openalex.org/W3106786378,fetched_ok,2020,https://openalex.org/W3106786378,cached_ok,2,2026-06-12
bariskasikci,Baris Kasikci,A5050964144,GREEN,orcid_agrees,True,cached_ok,2011,https://openalex.org/W841245180,fetched_ok,2011,https://openalex.org/W841245180,cached_ok,22,2026-06-12
basspitters,Bas Spitters,A5043123968,YELLOW,orcid_agrees,False,cached_ok,2000,https://openalex.org/W2143301853,fetched_ok,2000,https://openalex.org/W2143301853,cached_ok,19,2026-06-12
bengreenman,Ben Greenman,A5002785598,YELLOW,orcid_org_not_unique,True,cached_ok,2005,https://openalex.org/W4251268632,fetched_ok,2005,https://openalex.org/W4251268632,cached_ok,13,2026-06-12
benhardekopf,Ben Hardekopf,A5074393511,YELLOW,orcid_agrees,False,cached_ok,2000,https://openalex.org/W2154387710,fetched_ok,2000,https://openalex.org/W2154387710,cached_ok,20,2026-06-12
benhermann,Ben Hermann,A5027995789,GREEN,orcid_agrees,True,cached_ok,2011,https://openalex.org/W2266421402,fetched_ok,2013,https://openalex.org/W135477277,cached_ok,14,2026-06-12
benltitzer,Ben L. Titzer,A5034437441,YELLOW,orcid_org_not_unique,True,cached_ok,2003,https://openalex.org/W125181918,fetched_ok,2003,https://openalex.org/W125181918,cached_ok,12,2026-06-12
benliblit,Ben Liblit,A5030632138,YELLOW,orcid_org_not_unique,False,cached_ok,1998,https://openalex.org/W174368243,fetched_ok,1998,https://openalex.org/W174368243,cached_ok,31,2026-06-12
benlippmeier,Ben Lippmeier,A5009447837,YELLOW,orcid_org_not_unique,False,cached_ok,2009,https://openalex.org/W2896527812,fetched_ok,2009,https://openalex.org/W2896527812,cached_ok,10,2026-06-12
benzorn,Ben Zorn,A5061392370,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,1999,https://openalex.org/W2076760716,fetched_ok,1999,https://openalex.org/W2076760716,cached_ok,7,2026-06-12
beniaminoaccattoli,Beniamino Accattoli,A5046873607,GREEN,orcid_agrees,True,cached_ok,2009,https://openalex.org/W4242772231,fetched_ok,2009,https://openalex.org/W4242772231,cached_ok,20,2026-06-12
benjamincpierce,Benjamin C. Pierce,A5085361253,YELLOW,orcid_org_not_unique,False,cached_ok,1988,https://openalex.org/W1507631646,fetched_ok,1989,https://openalex.org/W2104216136,cached_ok,61,2026-06-12
benjaminchung,Benjamin Chung,A5008191145,YELLOW,orcid_org_not_unique,True,cached_ok,2012,https://openalex.org/W1977024635,fetched_ok,2012,https://openalex.org/W1977024635,cached_ok,8,2026-06-12
benjamindelaware,Benjamin Delaware,A5073767542,YELLOW,orcid_agrees,False,cached_ok,2009,https://openalex.org/W2016945749,fetched_ok,2009,https://openalex.org/W2016945749,cached_ok,11,2026-06-12
benjaminlivshits1,Benjamin Livshits,A5068390911,YELLOW,orcid_agrees,False,cached_ok,1960,https://openalex.org/W3118883008,fetched_ok,1960,https://openalex.org/W3118883008,cached_ok,40,2026-06-12
benjaminlucienkaminski,Benjamin Lucien Kaminski,A5045667283,YELLOW,orcid_agrees,False,cached_ok,2011,https://openalex.org/W2116276920,fetched_ok,2011,https://openalex.org/W2116276920,cached_ok,20,2026-06-12
benoitvaliron1,Benoît Valiron,A5065743601,YELLOW,orcid_agrees,False,cached_ok,2004,https://openalex.org/W2580224894,fetched_ok,2004,https://openalex.org/W2580224894,cached_ok,18,2026-06-12
bernardotoninho,Bernardo Toninho,A5039596448,YELLOW,orcid_agrees,False,cached_ok,2009,https://openalex.org/W156148463,fetched_ok,2009,https://openalex.org/W156148463,cached_ok,17,2026-06-12
berndfinkbeiner,Bernd Finkbeiner,A5048189898,YELLOW,orcid_agrees,False,cached_ok,1973,https://openalex.org/W2045483846,fetched_ok,1973,https://openalex.org/W2045483846,cached_ok,32,2026-06-12
bernhardscholz1,Bernhard Scholz,A5084068260,YELLOW,orcid_org_not_unique,True,cached_ok,1898,https://openalex.org/W657874098,fetched_ok,1942,https://openalex.org/W2093158817,cached_ok,31,2026-06-12
betaziliani,Beta Ziliani,A5051003407,GREEN,orcid_agrees,True,cached_ok,2011,https://openalex.org/W2171053413,fetched_ok,2011,https://openalex.org/W2171053413,cached_ok,9,2026-06-12
boryuhevanchang,Bor-Yuh Evan Chang,A5048756174,GREEN,orcid_agrees,True,cached_ok,2002,https://openalex.org/W1766430671,fetched_ok,2002,https://openalex.org/W1766430671,cached_ok,19,2026-06-12
brandonlucia,Brandon Lucia,A5076249757,YELLOW,orcid_agrees,False,cached_ok,2008,https://openalex.org/W3142284768,fetched_ok,2008,https://openalex.org/W3142284768,cached_ok,40,2026-06-12
briandemsky,Brian Demsky,A5016315666,GREEN,orcid_agrees,True,cached_ok,2001,https://openalex.org/W2281249352,fetched_ok,2001,https://openalex.org/W2281249352,cached_ok,23,2026-06-12
brianhempel,Brian Hempel,A5034813141,YELLOW,orcid_org_not_unique,False,cached_ok,2016,https://openalex.org/W3084042316,fetched_ok,2016,https://openalex.org/W3084042316,cached_ok,4,2026-06-12
brigittepientka,Brigitte Pientka,A5044908798,YELLOW,orcid_agrees,False,cached_ok,1997,https://openalex.org/W1622769185,fetched_ok,1997,https://openalex.org/W1622769185,cached_ok,20,2026-06-12
brunooliveira,Bruno C. d. S. Oliveira,A5049714036,YELLOW,orcid_agrees,False,cached_ok,2002,https://openalex.org/W2529380892,fetched_ok,2002,https://openalex.org/W2529380892,cached_ok,23,2026-06-12
burcukulahciogluozkan,Burcu Kulahcioglu Ozkan,A5019138419,GREEN,orcid_agrees,True,cached_ok,2014,https://openalex.org/W2181670131,fetched_ok,2014,https://openalex.org/W2181670131,cached_ok,8,2026-06-12
caitlinsadowski,Caitlin Sadowski,A5013989748,GREEN,orcid_agrees,True,cached_ok,1969,https://openalex.org/W2462409288,fetched_ok,1969,https://openalex.org/W2462409288,cached_ok,24,2026-06-12
calebstanford,Caleb Stanford,A5019472033,GREEN,orcid_agrees,True,cached_ok,2015,https://openalex.org/W1111270772,fetched_ok,2015,https://openalex.org/W1111270772,cached_ok,6,2026-06-12
calincascaval,Calin Cascaval,A5036042735,GREEN,orcid_agrees,True,cached_ok,2000,https://openalex.org/W1525107379,fetched_ok,2000,https://openalex.org/W1525107379,cached_ok,30,2026-06-12
calvinsmith,Calvin Smith,A5075808482,YELLOW,orcid_org_not_unique,False,cached_ok,1966,https://openalex.org/W2072189696,fetched_ok,2016,https://openalex.org/W2409856616,cached_ok,8,2026-06-12
camildemetrescu,Camil Demetrescu,A5066534034,YELLOW,orcid_agrees,False,cached_ok,1979,https://openalex.org/W155673274,fetched_ok,1988,https://openalex.org/W2024846260,cached_ok,27,2026-06-12
carlaferreira,Carla Ferreira,A5031885550,YELLOW,orcid_org_not_unique,True,cached_ok,2000,https://openalex.org/W1579083398,fetched_ok,2000,https://openalex.org/W1579083398,cached_ok,17,2026-06-12
carloangiuli,Carlo Angiuli,A5082735906,YELLOW,orcid_agrees,False,cached_ok,2010,https://openalex.org/W1610935610,fetched_ok,2010,https://openalex.org/W1610935610,cached_ok,8,2026-06-12
carolinelemieux,Caroline Lemieux,A5069023395,YELLOW,orcid_agrees,False,cached_ok,2010,https://openalex.org/W2526043839,fetched_ok,2015,https://openalex.org/W4237865316,cached_ok,11,2026-06-12
caterinaurban,Caterina Urban,A5077439185,YELLOW,orcid_org_not_unique,True,cached_ok,2013,https://openalex.org/W2114695797,fetched_ok,2013,https://openalex.org/W2114695797,cached_ok,11,2026-06-12
chandrakrintz,Chandra Krintz,A5040516516,GREEN,orcid_agrees,True,cached_ok,1995,https://openalex.org/W30532117,fetched_ok,1995,https://openalex.org/W30532117,cached_ok,30,2026-06-12
chandrakananandi,Chandrakana Nandi,A5066993902,YELLOW,orcid_agrees,False,cached_ok,2014,https://openalex.org/W1951090007,fetched_ok,2014,https://openalex.org/W1951090007,cached_ok,9,2026-06-12
charithmendis1,Charith Mendis,A5034476447,YELLOW,orcid_agrees,False,cached_ok,2015,https://openalex.org/W2054907275,fetched_ok,2015,https://openalex.org/W2054907275,cached_ok,13,2026-06-12
charliecurtsinger,Charlie Curtsinger,A5053167314,YELLOW,orcid_org_not_unique,False,cached_ok,2011,https://openalex.org/W58852127,fetched_ok,2011,https://openalex.org/W58852127,cached_ok,10,2026-06-12
charliemurphy1,Charlie Murphy,A5000201364,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,2017,https://openalex.org/W2623933443,fetched_ok,2017,https://openalex.org/W2623933443,cached_ok,1,2026-06-12
chenxiwang1,Chenxi Wang,A5100334369,YELLOW,orcid_org_not_unique,True,cached_ok,1997,https://openalex.org/W43328283,fetched_ok,1997,https://openalex.org/W43328283,cached_ok,16,2026-06-12
chrisfallin,Chris Fallin,A5030507600,GREEN,orcid_agrees,True,cached_ok,2010,https://openalex.org/W2122510369,fetched_ok,2010,https://openalex.org/W2122510369,cached_ok,16,2026-06-12
chrishawblitzel,Chris Hawblitzel,A5016958899,GREEN,orcid_agrees,True,cached_ok,1996,https://openalex.org/W2099905360,fetched_ok,1996,https://openalex.org/W2099905360,cached_ok,27,2026-06-12
chrismartens,Chris Martens,A5086688438,YELLOW,orcid_org_not_unique,True,cached_ok,2006,https://openalex.org/W2010212258,fetched_ok,2006,https://openalex.org/W2010212258,cached_ok,13,2026-06-12
chrisseaton,Chris Seaton,A5037104076,YELLOW,no_openalex_orcid_to_compare,False,cached_ok,1966,https://openalex.org/W2896852977,fetched_ok,1983,https://openalex.org/W2316405688,cached_ok,12,2026-06-12
christiankastner,Christian Kästner,A5067467896,YELLOW,orcid_org_not_unique,True,cached_ok,1996,https://openalex.org/W1706554364,fetched_ok,1996,https://openalex.org/W1706554364,cached_ok,68,2026-06-12
christinerizkallah,Christine Rizkallah,A5019489999,YELLOW,orcid_agrees,False,cached_ok,2009,https://openalex.org/W993805131,fetched_ok,2009,https://openalex.org/W993805131,cached_ok,10,2026-06-12
