title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
pattern recognition and machine learning,6,Pattern Recognition and Machine Learning,W2009086942; W2037855648; W2594639291; W4212863985; W4411487126; W4952878,"1963, 1993, 2006, 2007, 2025",6
dynamo,5,Dynamo,W2072737419; W2153704625; W4231002400; W4232576303; W4249823756,"2000, 2007, 2011",25
transactional memory,5,Transactional memory,W2113751407; W2340530615; W2955325419; W4244083566; W4298077439,"1993, 2007, 2008, 2010",17
theory of linear and integer programming,5,Theory of Linear and Integer Programming,W1963547452; W4213255380; W4233558979; W4298262456; W4301808069,"1987, 1998, 2000",13
grace,5,GRace,W2117444998; W2145087641; W2149686793; W3163798569; W4249224771,"2009, 2011, 2012",11
mathematics of program construction,5,Mathematics of Program Construction,W1678891027; W2248636262; W2482291115; W2485514507; W2736692911,"1995, 1998, 2010, 2012, 2015",10
cirq,5,Cirq,W6892474053; W6892755627; W6912699698; W6912769805; W6969089189,"2021, 2022, 2023, 2024, 2025",9
trends in functional programming,5,Trends in Functional Programming,W4205435528; W4290977268; W4406166094; W606382780; W78774630,"2013, 2016, 2019, 2021, 2025",8
practical aspects of declarative languages,5,Practical Aspects of Declarative Languages,W175992194; W2477687312; W2482434465; W2489015453; W4302790834,"2000, 2005, 2007, 2010, 2011",6
typed lambda calculi and applications,5,Typed Lambda Calculi and Applications,W1551845476; W2492925914; W2496237713; W4230690659; W4290007157,"1995, 2001, 2007, 2009, 2011",5
usability engineering,5,Usability Engineering,W2342091124; W4235430723; W4235855608; W4239720002; W4406284336,"1993, 1997, 2004, 2024",5
combinatorial sketching for finite programs,4,Combinatorial sketching for finite programs,W2149236697; W2997049506; W3008793775; W3022427679,2006,91
scaling up superoptimization,4,Scaling up Superoptimization,W2330908417; W4229517606; W4235240618; W4251429682,2016,32
mnemosyne,4,Mnemosyne,W2113637091; W4229634447; W4241595689; W4241729479,"2011, 2012",29
nv heaps,4,NV-Heaps,W2150662965; W4205643817; W4244155122; W4254305400,"2011, 2012",28
weak ordering a new definition,4,Weak ordering—a new definition,W2152390090; W3004250778; W4206635466; W4229517165,"1990, 1998, 2002",24
automatic generation of peephole superoptimizers,4,Automatic generation of peephole superoptimizers,W2160145830; W3004705163; W3024487921; W4211105367,2006,21
communicating sequential processes,4,Communicating sequential processes,W2110425399; W2176300081; W3144368627; W4211008702,"1978, 1983, 1985",19
failure atomic persistent memory updates via justdo logging,4,Failure-Atomic Persistent Memory Updates via JUSTDO Logging,W2318717892; W4231807366; W4235013433; W4241849989,2016,13
studies in logic and the foundations of mathematics,4,STUDIES IN LOGIC AND THE FOUNDATIONS OF MATHEMATICS,W4211036707; W4238977241; W4244108936; W4254994720,"2001, 2007, 2008, 2014",12
language support for lightweight transactions,4,Language support for lightweight transactions,W2108204150; W4238611865; W4242949098; W4246251632,"2003, 2014",11
preface,4,Preface,W2403093584; W4211067849; W4247695068; W6940759669,"2001, 2003, 2007, 2013",11
intel threading building blocks,4,Intel® threading building blocks,W160921400; W2498108729; W3016205154; W57462620,"2008, 2015, 2016",10
model checking,4,Model checking,W2166422915; W2340735175; W2913459036; W4242741415,"1996, 1997, 1999, 2009",10
types for proofs and programs,4,Types for Proofs and Programs,W2796961297; W4293770342; W4294254159; W4300050167,"1995, 1996, 2002, 2006",10
functional pearl,4,Functional pearl,W1999260700; W2071866471; W2118502088; W2143934903,"2004, 2009, 2010",9
symbolic model checking,4,Symbolic model checking,W1503170978; W2344671925; W240055707; W4300021588,"1993, 1994, 1996",8
tardis,4,Tardis,W2168086664; W2168607538; W2440548006; W4236063690,"2014, 2015, 2016",8
ieee standard for systemverilog unified hardware design specification and verification language,4,"IEEE Standard for SystemVerilog--Unified Hardware Design, Specification, and Verification Language",W4232656078; W4236592446; W4255744499; W4392361663,"2005, 2012, 2017, 2023",7
languages and compilers for parallel computing,4,Languages and Compilers for Parallel Computing,W2475431187; W3009729791; W3146312719; W4300907407,"1994, 2015, 2019, 2022",7
neural networks and deep learning,4,Neural Networks and Deep Learning,W2604990696; W2896556344; W3143855017; W4285528496,"2018, 2021, 2022",6
randomized algorithms,4,Randomized Algorithms,W138321218; W2295428206; W4237476671; W4240897737,"1995, 1996, 2020, 2024",5
using redundancies to find errors,4,Using redundancies to find errors,W2108278741; W2146796140; W3010171591; W4249537162,"2002, 2003",5
domain specific languages,4,Domain-specific languages,W2060908487; W2155028447; W260703653; W4319867088,"2000, 2003, 2009, 2023",4
abstract interpretation,3,Abstract interpretation,W2043100293; W2163563828; W2295244175,"1977, 1996, 2014",136
finding and understanding bugs in c compilers,3,Finding and understanding bugs in C compilers,W2098456636; W4238083723; W4245487037,"2011, 2012",111
quickcheck,3,QuickCheck,W2119717320; W4242126179; W4244488020,"2000, 2011",85
an axiomatic basis for computer programming,3,An axiomatic basis for computer programming,W2111706174; W2987907651; W4302049037,"1969, 1983, 2001",81
syntax guided synthesis,3,Syntax-Guided Synthesis,W1526922602; W2094878426; W2399923814,"2013, 2015",79
multiparty asynchronous session types,3,Multiparty asynchronous session types,W2040105559; W2325347394; W3008328790,"2008, 2016",66
resources concurrency and local reasoning,3,"Resources, Concurrency and Local Reasoning",W2121405115; W2132761501; W4233381151,"2004, 2007",62
halide,3,Halide,W2055312318; W2780077279; W4251637954,"2013, 2017",61
pointer analysis,3,Pointer analysis,W2046699259; W2913068020; W4206770190,"2001, 2015",57
compositional shape analysis by means of bi abduction,3,Compositional Shape Analysis by Means of Bi-Abduction,W1992012690; W2154985136; W3015951847,"2009, 2011",47
program synthesis using abstraction refinement,3,Program synthesis using abstraction refinement,W2765742677; W2899212285; W2951471155,2017,47
stochastic superoptimization,3,Stochastic superoptimization,W2294628582; W3037855651; W4299968636,2013,46
probabilistic relational reasoning for differential privacy,3,Probabilistic Relational Reasoning for Differential Privacy,W2091015169; W2100877271; W3145555275,"2012, 2013",43
multivariate amortized resource analysis,3,Multivariate amortized resource analysis,W2073629816; W2137062096; W4242321992,"2011, 2012",42
program synthesis,3,Program Synthesis,W2976890614; W4229675450; W4234222550,2017,42
fasttrack,3,FastTrack,W2089237839; W2167744164; W4238388226,"2009, 2010",41
valgrind,3,Valgrind,W1514171102; W2156858199; W4239035626,"2003, 2007",40
bringing the web up to speed with webassembly,3,Bringing the web up to speed with WebAssembly,W2625141509; W2901284989; W4232865065,"2017, 2018",37
secure distributed programming with value dependent types,3,Secure distributed programming with value-dependent types,W2147778310; W2154005761; W4240226860,"2011, 2013",37
linear dependent types and relative completeness,3,Linear Dependent Types and Relative Completeness,W1966928697; W2095867533; W4298195558,"2011, 2012",36
propositions as sessions,3,Propositions as sessions,W2138552902; W2153557668; W3005030212,"2012, 2014",36
gps,3,GPS,W1969970763; W2168397157; W4245803861,"2013, 2014",35
lightweight modular staging,3,Lightweight modular staging,W2147578933; W2154697693; W2998145234,"2010, 2012",35
eraser,3,Eraser,W1972544179; W2016323637; W4233730906,1997,34
operational semantics for multi language programs,3,Operational semantics for multi-language programs,W2014472261; W2020899082; W4245120671,"2007, 2009",34
reasoning about programs in continuation passing style,3,Reasoning about programs in continuation-passing style,W1975575519; W2017274604; W3005174853,"1992, 1993",34
a randomized scheduler with probabilistic guarantees of finding bugs,3,A randomized scheduler with probabilistic guarantees of finding bugs,W2110852599; W3128783161; W4254906220,2010,31
stochastic invariants for probabilistic termination,3,Stochastic invariants for probabilistic termination,W2548604229; W2950486995; W4301523782,"2016, 2017",31
abstracting abstract machines,3,Abstracting abstract machines,W2013885073; W2077255408; W2953057551,"2010, 2011",30
blame for all,3,Blame for all,W2128496924; W2160241785; W3163012639,"2009, 2011",29
chisel,3,Chisel,W1983394510; W2142096775; W4243061752,"2012, 2014",28
threesomes with and without blame,3,"Threesomes, with and without blame",W2034355944; W2123171027; W4213243340,"2009, 2010",28
a modal analysis of staged computation,3,A modal analysis of staged computation,W1988177568; W2029408547; W4238059151,"1996, 1999, 2001",26
secure information flow by self composition,3,Secure information flow by self-composition,W2095840868; W2104658241; W4236991443,"2004, 2011",26
stateless model checking for tso and pso,3,Stateless Model Checking for TSO and PSO,W1719093023; W2466104094; W2952092732,"2015, 2016",26
bi as an assertion language for mutable data structures,3,BI as an assertion language for mutable data structures,W1974265510; W4243994983; W4256027310,"2001, 2011",25
featherweight java,3,Featherweight Java,W2033348393; W2168986107; W4244464581,"1999, 2001",24
implicitly threaded parallelism in manticore,3,Implicitly threaded parallelism in Manticore,W1994257154; W2107766104; W4244257941,"2008, 2010",24
skeletal program enumeration for rigorous compiler testing,3,Skeletal program enumeration for rigorous compiler testing,W2530895108; W2952139678; W4306749256,"2016, 2017",24
the art of multiprocessor programming,3,The Art of Multiprocessor Programming,W1606621385; W1983572666; W4293763691,"2006, 2008, 2020",24
the octagon abstract domain,3,The octagon abstract domain,W2142481893; W2987077139; W3158747708,"2001, 2002, 2006",24
program slicing,3,Program Slicing,W2293624369; W2913256667; W4241211222,"1981, 1984, 1996",23
satisfiability modulo theories,3,Satisfiability Modulo Theories,W1481397690; W2137351629; W4407878857,"2009, 2011, 2018",23
soft contract verification,3,Soft contract verification,W2081841061; W3099703838; W4230221903,"2014, 2016",23
superoptimizer a look at the smallest program,3,Superoptimizer: a look at the smallest program,W2114012357; W3006102157; W4301666354,1987,23
on the naturalness of software,3,On the naturalness of software,W2142403498; W2344444819; W3146720657,"2012, 2016",22
quantum computation and quantum information,3,Quantum computation and quantum information,W2170608991; W2764347725; W2990961515,"2001, 2007, 2012",22
rusthorn chc based verification for rust programs,3,RustHorn: CHC-Based Verification for Rust Programs,W3007744929; W3209913027; W4232182907,"2020, 2021",22
categories for the working mathematician,3,Categories for the Working Mathematician,W2120713972; W2574983198; W4210839962,"1971, 1974, 1978",21
on thin air reads towards an event structures model of relaxed memory,3,On Thin Air Reads Towards an Event Structures Model of Relaxed Memory,W2531502343; W2944209509; W2950964822,"2016, 2017, 2019",21
denali,3,Denali,W1977279860; W2150871888; W4235668804,"2002, 2006",20
high performance transactions for persistent memories,3,High-Performance Transactions for Persistent Memories,W2333451476; W4230081539; W4238227173,2016,20
verifying quantitative reliability for programs that execute on unreliable hardware,3,Verifying quantitative reliability for programs that execute on unreliable hardware,W2105544671; W2492105651; W4236934668,"2013, 2016",20
aeneas rust verification by functional translation,3,Aeneas: Rust verification by functional translation,W4283019774; W6912785687; W6929368195,2022,19
blame and coercion together again for the first time,3,Blame and coercion: together again for the first time,W2088295995; W3000266772; W3205670054,"2015, 2021",19
languages as libraries,3,Languages as libraries,W2101718506; W4235903093; W4244459302,"2011, 2012",19
learning from mistakes,3,Learning from mistakes,W2101161997; W3009678450; W3023364199,2008,19
efficient on the fly data race detection in multithreaded c programs,3,Efficient on-the-fly data race detection in multithreaded C++ programs,W1487375638; W2072419942; W3091178001,"2003, 2004",18
making smart contracts smarter,3,Making Smart Contracts Smarter,W2539190473; W2951548499; W3174470544,"2016, 2021",18
trace theory,3,Trace theory,W2912084748; W2913202392; W4232306982,"1986, 1987",17
a weakest pre expectation semantics for mixed sign expectations,3,A weakest pre-expectation semantics for mixed-sign expectations,W2605302905; W2949292350; W4292718140,2017,16
abstractions from proofs,3,Abstractions from proofs,W2151463894; W4212792638; W4254377784,"2004, 2014",16
communication and concurrency,3,Communication and Concurrency,W1503973138; W258022877; W88975855,"1989, 1990, 1991",16
graspan,3,Graspan,W2604520577; W4237417046; W4247073558,2017,16
green,3,Green,W1990880047; W2114703523; W4238977659,"2010, 2012",16
symbolic algorithms for language equivalence and kleene algebra with tests,3,Symbolic Algorithms for Language Equivalence and Kleene Algebra with Tests,W1975315464; W3015661654; W6922314710,"2014, 2015",16
beginner s luck a language for property based generators,3,Beginner's luck: a language for property-based generators,W2476059279; W2952075001; W3006045359,"2016, 2017",15
locksmith,3,LOCKSMITH,W2045238089; W2158449625; W4249000722,"2006, 2011",15
verifying strong eventual consistency in distributed systems,3,Verifying strong eventual consistency in distributed systems,W2727092525; W3123835709; W3161948876,2017,15
software transactional memory,3,Software transactional memory,W2045506295; W2092911542; W2769656678,"1995, 1997, 2008",14
thread scheduling for multiprogrammed multiprocessors,3,Thread Scheduling for Multiprogrammed Multiprocessors,W1965708711; W2098147619; W4237877977,"1998, 2001",14
a data locality optimizing algorithm,3,A data locality optimizing algorithm,W2119609467; W4234392772; W4238109388,"1991, 2004",13
abstraction guided synthesis of synchronization,3,Abstraction-guided synthesis of synchronization,W2069284995; W2122735631; W3216885170,"2010, 2012",13
control flow analysis,3,Control flow analysis,W2004944457; W2127637733; W4238983745,"1970, 1995",13
merlin,3,Merlin,W2021234005; W2113709047; W4248587618,"2009, 2014",13
newtonian program analysis via tensor product,3,Newtonian program analysis via tensor product,W2289508293; W2600895373; W4239564484,"2016, 2017",13
non parametric parametricity,3,Non-parametric parametricity,W2112121519; W2634443969; W4232387295,"2009, 2011",13
type and effect systems,3,Type and Effect Systems,W1558848517; W4238056673; W4248393243,1999,13
a temporal logic approach to binding time analysis,3,A temporal-logic approach to binding-time analysis,W2134291411; W2354429974; W2601109700,"1995, 2002, 2017",12
dynamic witnesses for static type errors or ill typed programs usually go wrong,3,"Dynamic witnesses for static type errors (or, Ill-Typed Programs Usually Go Wrong)",W2804829712; W2953389284; W2996075572,"2016, 2018",12
the art of computer programming,3,The Art of Computer Programming,W2752061190; W2752853835; W2752908210,"1968, 1970",12
algorithms for algebraic path properties in concurrent systems of constant treewidth components,3,Algorithms for algebraic path properties in concurrent systems of constant treewidth components,W1821417028; W2880875791; W2949740838,"2016, 2018",11
foundations of databases,3,Foundations of databases,W1558832481; W2502658919; W4206031975,"1988, 1994, 1995",11
induction of decision trees,3,Induction of Decision Trees,W2149706766; W3139831614; W4236137412,"1986, 2003",11
modular higher order cardinality analysis in theory and practice,3,"Modular, higher-order cardinality analysis in theory and practice",W2038401271; W2573436692; W4234739870,"2014, 2017",11
a knowledge compilation map,3,A Knowledge Compilation Map,W2105197197; W2999916861; W3099451540,2002,10
ccured,3,CCured,W2140611647; W4234020632; W4243885711,"2002, 2012",10
cost recurrences for dml programs,3,Cost recurrences for DML programs,W1980177715; W2998897849; W4237407359,2001,10
safe zero cost coercions for haskell,3,Safe zero-cost coercions for Haskell,W2106226553; W2500959965; W4255629562,"2014, 2016",10
testing noninterference quickly,3,"Testing noninterference, quickly",W2159192310; W2329154668; W4250224788,"2013, 2016",10
a combination framework for complexity,3,A combination framework for complexity,W148448369; W2247087096; W2952181553,"2013, 2016",9
how to make ad hoc proof automation less ad hoc,3,How to make ad hoc proof automation less ad hoc,W2086221190; W2137076681; W4214826241,"2011, 2013",9
on the preciseness of subtyping in session types,3,On the Preciseness of Subtyping in Session Types,W2023127104; W2754865860; W2949178056,"2014, 2016, 2017",9
s2e,3,S2E,W2137530017; W4244413641; W4244700344,2011,9
term rewriting and all that,3,Term Rewriting and All That,W1583295953; W2082283048; W4213359168,"1998, 2000",9
thorn,3,Thorn,W2013449916; W2134720688; W4230441739,2009,9
algebraic decision diagrams and their applications,3,Algebraic Decision Diagrams and Their Applications,W2047650874; W2167435507; W4246239274,"1993, 1997, 2002",8
an on the fly reference counting garbage collector for java,3,An on-the-fly reference counting garbage collector for Java,W2062730511; W2079043385; W2997887244,"2001, 2006",8
data races vs data race bugs,3,Data races vs. data race bugs,W2162630235; W3010635687; W4246334639,2012,8
directed incremental symbolic execution,3,Directed Incremental Symbolic Execution,W2006860739; W2152565783; W4236799059,"2011, 2014",8
generation scavenging,3,Generation Scavenging,W2158364508; W4231060654; W4248121615,1984,8
linear capabilities for fully abstract compilation of separation logic verified code,3,Linear capabilities for fully abstract compilation of separation-logic-verified code,W2966793605; W3033665586; W3151508267,"2019, 2021",8
markov decision processes discrete stochastic dynamic programming,3,Markov Decision Processes: Discrete Stochastic Dynamic Programming.,W2119567691; W4233840023; W4298023569,1995,8
monte carlo sampling methods using markov chains and their applications,3,Monte Carlo sampling methods using Markov chains and their applications,W2138309709; W4246464108; W4388320658,"1970, 2001",8
monte carlo statistical methods,3,Monte Carlo Statistical Methods,W1985093013; W4292403327; W4292691288,"1999, 2000, 2004",8
on the termination problem for probabilistic higher order recursive programs,3,On the Termination Problem for Probabilistic Higher-Order Recursive Programs,W2900311562; W2965667013; W4288079620,"2019, 2020",8
pads,3,PADS,W1990751139; W2113145044; W4246839229,"2005, 2006",8
polymage,3,PolyMage,W2084917734; W4254778071; W4255653201,2015,8
separating sessions smoothly,3,Separating Sessions Smoothly,W3163410185; W3193512299; W4287179812,"2021, 2023",8
a calculus for overloaded functions with subtyping,3,A Calculus for Overloaded Functions with Subtyping,W1994181029; W2161064529; W2998595502,"1992, 1995",7
a kripke logical relation for effect based program transformations,3,A kripke logical relation for effect-based program transformations,W2036967823; W2461817804; W4244977193,"2011, 2016",7
call by name gradual type theory,3,Call-by-name Gradual Type Theory,W2787703111; W2963037676; W3095937340,"2018, 2020",7
dynamic logic,3,Dynamic Logic,W4211125366; W4231430632; W4239007999,"2000, 2001",7
from clarity to efficiency for distributed algorithms,3,From clarity to efficiency for distributed algorithms,W2096274181; W2617632007; W4248355514,"2012, 2017",7
games and strategies as event structures,3,Games and Strategies as Event Structures,W2537740402; W2571881501; W3104865824,"2016, 2017",7
precise subtyping for synchronous multiparty sessions,3,Precise subtyping for synchronous multiparty sessions,W2259090870; W2908355402; W2963326822,"2016, 2018",7
precise widening operators for convex polyhedra,3,Precise Widening Operators for Convex Polyhedra,W3029115295; W4212935551; W4239558088,"2003, 2005",7
separation and information hiding,3,Separation and information hiding,W2080769562; W2130111506; W4237593520,"2004, 2009",7
space profiling for parallel functional programs,3,Space profiling for parallel functional programs,W2149678462; W2167571567; W4231827376,"2008, 2010",7
the c programming language,3,The C++ Programming Language,W2987803397; W4235077482; W4400961909,"1979, 1985, 2024",7
a hardware design language for timing sensitive information flow security,3,A Hardware Design Language for Timing-Sensitive Information-Flow Security,W2116469687; W4238698725; W4247198503,2015,6
alloy a general purpose higher order relational constraint solver,3,Alloy*: A General-Purpose Higher-Order Relational Constraint Solver,W2139553864; W2582748022; W4245822332,"2015, 2017",6
automata and computability,3,Automata and Computability,W1563342424; W4246777216; W4299138792,"1977, 1997, 2019",6
capri,3,CApRI,W2152505265; W4234611484; W4283362440,"2014, 2022",6
certifying data in multiparty session types,3,Certifying data in multiparty session types,W2460202555; W3023979312; W4212940261,2016,6
checking type safety of foreign function calls,3,Checking type safety of foreign function calls,W1973020382; W2159388995; W4232645513,"2005, 2008",6
dynamic program slicing,3,Dynamic program slicing,W1984248430; W2110066339; W4231040899,"1988, 1990",6
intensional polymorphism in type erasure semantics,3,Intensional polymorphism in type-erasure semantics,W1974398164; W2024398154; W3009279359,"1998, 2002",6
regular expression types for xml,3,Regular expression types for XML,W2072137506; W2157821258; W3014278192,"2000, 2005",6
semantics of transactional memory and automatic mutual exclusion,3,Semantics of transactional memory and automatic mutual exclusion,W2086512828; W2126484338; W3005952541,"2008, 2011",6
simulation and the monte carlo method,3,Simulation and the Monte Carlo Method,W2147632348; W2797175432; W4236039924,"1983, 2008, 2016",6
the elements of statistical learning,3,The Elements of Statistical Learning,W1480376833; W2787894218; W4298304654,"2001, 2009",6
type inference with subtypes,3,Type inference with subtypes,W1703087989; W2041659737; W4246881098,"1988, 1990",6
vst a a foundationally sound annotation verifier,3,VST-A: A Foundationally Sound Annotation Verifier,W2972221491; W4390603519; W6967964281,"2019, 2023, 2024",6
a preliminary architecture for a basic data flow processor,3,A preliminary architecture for a basic data-flow processor,W2137380783; W4239997146; W4246838776,"1974, 1975, 1998",5
bounded synthesis,3,Bounded synthesis,W2913192371; W4241616303; W4253380258,"2007, 2012",5
coredet,3,CoreDet,W2158794422; W4230574494; W4235385348,2010,5
decidability of second order theories and automata on infinite trees,3,Decidability of second-order theories and automata on infinite trees,W1965611063; W2162583406; W4240244556,"1968, 1969",5
dual context calculi for modal logic,3,Dual-Context Calculi for Modal Logic,W2578225362; W3099174632; W4409121885,"2017, 2020",5
dynamic software updating,3,Dynamic software updating,W2040015657; W2047401676; W4250201092,"2001, 2005",5
encore,3,Encore,W1982901858; W2042777048; W2130136915,"2011, 2014, 2015",5
facade,3,FACADE,W2160768644; W2610299746; W4237645174,"2015, 2017",5
fast,3,Fast,W2000356331; W2103237321; W4243192843,"2014, 2015",5
hamiltonian simulation using linear combinations of unitary operations,3,Hamiltonian simulation using linear combinations of unitary operations,W2600825956; W2963652075; W6910414955,2012,5
information theory inference and learning algorithms,3,"Information Theory, Inference, and Learning Algorithms",W1607198972; W2092883204; W3140968660,"2004, 2005",5
interprocedural constant propagation,3,Interprocedural constant propagation,W1977606188; W4235258810; W4242680074,"1986, 1993",5
on lexicographic proof rules for probabilistic termination,3,On Lexicographic Proof Rules for Probabilistic Termination,W3189389740; W3216994895; W4287028489,"2021, 2023",5
programming by demonstration for long horizon robot tasks,3,Programming-by-Demonstration for Long-Horizon Robot Tasks,W4375870244; W6894163877; W6948101663,"2023, 2024",5
recursive structures for standard ml,3,Recursive structures for standard ML,W2102976859; W4233881619; W4255428192,"2001, 2012",5
stochastic relaxation gibbs distributions and the bayesian restoration of images,3,"Stochastic relaxation, Gibbs distributions, and the Bayesian restoration of images",W161217653; W2020999234; W4241385190,"1984, 1987, 1988",5
understanding integer overflow in c c,3,Understanding Integer Overflow in C/C++,W2168096831; W2621026180; W3142903977,"2012, 2015",5
a complete co inductive syntactic theory of sequential control and state,3,"A Complete, Co-inductive Syntactic Theory of Sequential Control and State",W2099116867; W2100747331; W4230665378,"2007, 2009",4
a method for obtaining digital signatures and public key cryptosystems,3,A method for obtaining digital signatures and public-key cryptosystems,W1996360405; W4232836212; W4248305857,"1978, 1983",4
an experimental analysis of self adjusting computation,3,An experimental analysis of self-adjusting computation,W2023614281; W2171901695; W4235858940,"2006, 2009",4
armor,3,ArMOR,W2086023529; W2138538875; W4234406920,"2011, 2015",4
automatic differentiation,3,Automatic Differentiation,W2798405286; W2912984848; W4255562162,"2001, 2011, 2022",4
bayesian data analysis,3,Bayesian Data Analysis,W1999060469; W2045656233; W2501073849,"1995, 2009, 2010",4
classification and regression trees,3,Classification and Regression Trees.,W3085162807; W4237372041; W4297957988,"1986, 2009, 2017",4
computational geometry,3,Computational Geometry,W2911302472; W4214494916; W4251391716,"1985, 1997, 2008",4
everything you always wanted to know about compiled and vectorized queries but were afraid to ask,3,Everything You Always Wanted to Know About Compiled and Vectorized Queries But Were Afraid to Ask,W2897173745; W3136655632; W4244768633,2018,4
exploratory data analysis,3,Exploratory Data Analysis,W2319794630; W2796353643; W3016054986,"1977, 1978, 1979",4
handbook of mathematical functions with formulas graphs and mathematical tables,3,"Handbook of Mathematical Functions with Formulas, Graphs and Mathematical Tables.",W2313299119; W2801179766; W4300223101,1965,4
improving neural network verification through spurious region guided refinement,3,Improving Neural Network Verification through Spurious Region Guided Refinement,W3092751871; W3147451797; W4298208958,"2020, 2021",4
introduction to modern cryptography,3,Introduction to Modern Cryptography,W1892798954; W4300349690; W4410352943,"2007, 2014, 2025",4
language oriented programming,3,Language-Oriented Programming,W277828896; W300550493; W4250612636,"2007, 2009, 2016",4
limitations of partial compaction,3,Limitations of partial compaction,W2035384491; W2591862005; W3183220139,"2013, 2017",4
markov chains and stochastic stability,3,Markov Chains and Stochastic Stability,W1995713768; W267488415; W4302617909,"1993, 2007, 2009",4
model checking of correctness conditions for concurrent objects,3,Model-checking of correctness conditions for concurrent objects,W2149426263; W2672830324; W3216348976,"2000, 2002",4
monadic regions,3,Monadic regions,W2295162339; W2913305528; W4235392789,"2004, 2006",4
nested session types,3,Nested Session Types,W3094570300; W3149247157; W4285489720,"2021, 2022",4
respec,3,Respec,W2100889285; W3136721778; W4250276807,2010,4
revised report on the algorithmic language algol 60,3,Revised report on the algorithmic language ALGOL 60,W2029785386; W2104416102; W2171727886,"1963, 1997",4
rigorous benchmarking in reasonable time,3,Rigorous benchmarking in reasonable time,W2013901208; W3007762348; W4244520147,2013,4
semi continuous sized types and termination,3,Semi-continuous Sized Types and Termination,W1505308924; W1963720087; W3105861067,"2006, 2008",4
term rewriting systems,3,Term rewriting systems,W2126018011; W4388310154; W598205067,"1990, 1992, 2003",4
algebra and coalgebra in computer science,3,Algebra and Coalgebra in Computer Science,W196547133; W2484788748; W2806445177,"2009, 2011, 2013",3
approximation algorithms,3,Approximation Algorithms,W2611804663; W4230573295; W4300550233,"2000, 2003, 2011",3
automata languages and programming,3,"Automata, Languages and Programming",W2503126481; W4315691002; W623577274,"1993, 2014, 2015",3
automated verification of practical garbage collectors,3,Automated verification of practical garbage collectors,W2137484994; W2950302512; W3023729334,"2009, 2010",3
cambridge university press,3,Cambridge University Press,W4241816833; W4290864872; W4301005547,"1935, 2014, 2021",3
checking robustness between weak transactional consistency models,3,Checking Robustness Between Weak Transactional Consistency Models,W3122018842; W3139989314; W4287371501,2021,3
compiler construction,3,Compiler Construction,W4242869840; W4251149766; W4253779513,"1996, 2009, 2014",3
frontiers of combining systems,3,Frontiers of Combining Systems,W2749429874; W2895500577; W4205914269,"1996, 2005, 2017",3
hilbert s tenth problem,3,Hilbert's tenth problem,W2049207136; W2107308446; W649764538,"1975, 1995",3
international organization for standardization,3,International Organization for Standardization,W220935706; W3200788958; W4376596966,"2011, 2015, 2022",3
learning bayesian networks,3,Learning Bayesian Networks,W2080828514; W4248700314; W4300995828,"2005, 2007, 2017",3
