title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
approximate counting in smt and value estimation for probabilistic programs,2,Approximate Counting in SMT and Value Estimation for Probabilistic Programs,W1528660673; W2607296636,"2015, 2017",12
archipelago,2,Archipelago,W2149263382; W4237332172,2008,12
automated tail bound analysis for probabilistic recurrence relations,2,Automated Tail Bound Analysis for Probabilistic Recurrence Relations,W4378505299; W4384471480,2023,12
automatic extraction of object oriented component interfaces,2,Automatic extraction of object-oriented component interfaces,W2121059325; W4231709874,2002,12
automatic program inversion using symbolic transducers,2,Automatic program inversion using symbolic transducers,W2626317688; W4230454357,2017,12
automatically validating temporal safety properties of interfaces,2,Automatically Validating Temporal Safety Properties of Interfaces,W2089139117; W4230796557,2001,12
automating ad hoc data representation transformations,2,Automating ad hoc data representation transformations,W2032988652; W3187301112,2015,12
backtracking based load balancing,2,Backtracking-based load balancing,W2116718945; W3005947729,2009,12
badger complexity analysis with fuzzing and symbolic execution,2,Badger: complexity analysis with fuzzing and symbolic execution,W2805375386; W2942157607,2018,12
big graph analytics platforms,2,Big Graph Analytics Platforms,W2574229471; W4298313295,2017,12
binding as sets of scopes,2,Binding as sets of scopes,W2295447786; W4246527937,2016,12
boosting robustness verification of semantic feature neighborhoods,2,Boosting Robustness Verification of Semantic Feature Neighborhoods,W4297812200; W4312643858,2022,12
cache conscious structure layout,2,Cache-conscious structure layout,W2116730320; W4214611987,1999,12
calculus of communicating systems,2,Calculus of Communicating Systems,W2194869982; W378839807,"1991, 2011",12
candle a verified implementation of hol light,2,Candle: A Verified Implementation of HOL Light,W4297797797; W6906473190,2022,12
certified assembly programming with embedded code pointers,2,Certified assembly programming with embedded code pointers,W2165970356; W3148010226,2006,12
certifying low level programs with hardware interrupts and preemptive threads,2,Certifying low-level programs with hardware interrupts and preemptive threads,W2108923990; W2150401476,"2008, 2009",12
checking and inferring local non aliasing,2,Checking and inferring local non-aliasing,W2171733626; W4214630400,2003,12
choreographies logically,2,"Choreographies, logically",W3187321874; W4232794147,"2014, 2017",12
commcsl proving information flow security for concurrent programs using abstract commutativity,2,CommCSL: Proving Information Flow Security for Concurrent Programs using Abstract Commutativity,W4309299843; W4379537321,"2022, 2023",12
composable and compilable macros,2,Composable and compilable macros:,W2055806388; W3004946341,2002,12
compositional entailment checking for a fragment of separation logic,2,Compositional Entailment Checking for a Fragment of Separation Logic,W3023397123; W46575596,"2014, 2017",12
concrete mathematics a foundation for computer science,2,Concrete Mathematics: A Foundation for Computer Science,W2029948740; W2329095262,"1989, 1991",12
concurrency control in groupware systems,2,Concurrency control in groupware systems,W2145220267; W4236824789,1989,12
constraint based type inference for freezeml,2,Constraint-based type inference for FreezeML,W4286588270; W4293812611,2022,12
control flow recovery from partial failure reports,2,Control-flow recovery from partial failure reports,W2625070311; W4242421104,2017,12
cope,2,COPE,W2164096531; W4241999312,2006,12
cps translating inductive and coinductive types,2,CPS translating inductive and coinductive types,W2113069707; W3093326799,2002,12
dcell,2,Dcell,W2143065961; W4256524787,2008,12
definability in the existential theory of concatenation and undecidable extensions of this theory,2,Definability in the Existential Theory of Concatenation and Undecidable Extensions of this Theory,W2166461033; W4239386794,"1988, 1990",12
denotational semantics of recursive types in synthetic guarded domain theory,2,Denotational semantics of recursive types in synthetic guarded domain theory,W2530147817; W2803229276,"2016, 2018",12
dependent types for program termination verification,2,Dependent Types for Program Termination Verification,W2168162624; W4256023041,2002,12
deriving linearizable fine grained concurrent objects,2,Deriving linearizable fine-grained concurrent objects,W2147760702; W3010792303,2008,12
differential cost analysis with simultaneous potentials and anti potentials,2,Differential Cost Analysis with Simultaneous Potentials and Anti-potentials,W4226074206; W4281781753,2022,12
dissociating language and thought in large language models,2,Dissociating language and thought in large language models,W4317463334; W4392935324,"2023, 2024",12
dynamic inference of static types for ruby,2,Dynamic inference of static types for ruby,W2113888205; W4241122238,2011,12
efficient and exact data dependence analysis,2,Efficient and exact data dependence analysis,W2079235644; W4234350265,1991,12
efficient path profiling,2,Efficient Path Profiling,W2101134669; W4238089251,"1996, 2002",12
efficient synthesis of network updates,2,Efficient synthesis of network updates,W2058503096; W3009075947,2015,12
embedding effect systems in haskell,2,Embedding effect systems in Haskell,W2042010295; W4248577883,2014,12
environment classifiers,2,Environment classifiers,W2296536988; W4252279595,2003,12
escape analysis on lists,2,Escape analysis on lists,W1967544098; W4230341943,1992,12
establishing object invariants with delayed types,2,Establishing object invariants with delayed types,W2067901725; W3013271253,2007,12
evaluating the accuracy of java profilers,2,Evaluating the accuracy of Java profilers,W2117975184; W4230822993,2010,12
exploration of low numeric precision deep learning inference using intel fpgas,2,Exploration of Low Numeric Precision Deep Learning Inference Using Intel® FPGAs,W2793471971; W2810498815,2018,12
extending sledgehammer with smt solvers,2,Extending Sledgehammer with SMT Solvers,W1674186056; W2022589543,"2011, 2013",12
extensible query processing in starburst,2,Extensible query processing in starburst,W2200545814; W4250587856,1989,12
fast and precise hybrid type inference for javascript,2,Fast and precise hybrid type inference for JavaScript,W2128457714; W3005541700,2012,12
fast and reliable formal verification of smart contracts with the move prover,2,Fast and Reliable Formal Verification of Smart Contracts with the Move Prover,W3206061238; W4286902750,"2021, 2022",12
finch sparse and structured tensor programming with control flow,2,Finch: Sparse and Structured Tensor Programming with Control Flow,W4395687330; W4409310702,"2024, 2025",12
finding bugs is easy,2,Finding bugs is easy,W1986453394; W2087527532,2004,12
flexible paxos quorum intersection revisited,2,Flexible Paxos: Quorum intersection revisited,W2516886136; W2962698771,"2016, 2017",12
forward or reverse mode automatic differentiation what s the difference,2,Forward- or Reverse-Mode Automatic Differentiation: What's the Difference?,W4320736106; W4385804225,2023,12
fpga programming for the masses,2,FPGA programming for the masses,W2106962797; W3083504653,2013,12
from simulink to scade lustre to tta,2,From simulink to SCADE/lustre to TTA,W2071229589; W4242915164,2003,12
fusing effectful comprehensions,2,Fusing effectful comprehensions,W2529401481; W3085860359,2017,12
generic universe types,2,Generic Universe Types,W1502550949; W4250979901,2007,12
global guidance for local generalization in model checking,2,Global guidance for local generalization in model checking,W3029555746; W3046688479,"2020, 2023",12
global optimization by basin hopping and the lowest energy structures of lennard jones clusters containing up to 110 atoms,2,Global Optimization by Basin-Hopping and the Lowest Energy Structures of Lennard-Jones Clusters Containing up to 110 Atoms,W1986602910; W3105621768,1997,12
global optimizations for parallelism and locality on scalable parallel machines,2,Global optimizations for parallelism and locality on scalable parallel machines,W2070922326; W4253844633,1993,12
green marl,2,Green-Marl,W2104329103; W4249456448,2012,12
griffin,2,GRIFFIN,W2584029330; W4230613728,2017,12
growing a language environment with editor libraries,2,Growing a language environment with editor libraries,W2108230680; W4251359319,2011,12
handling fibred algebraic effects,2,Handling fibred algebraic effects,W2779932201; W2898670361,"2017, 2018",12
hardware transactional memory meets memory persistency,2,Hardware Transactional Memory Meets Memory Persistency,W2885514411; W2928943454,"2018, 2019",12
haschor functional choreographic programming for all functional pearl,2,HasChor: Functional Choreographic Programming for All (Functional Pearl),W4323066591; W4384999944,2023,12
high performance cache replacement using re reference interval prediction rrip,2,High performance cache replacement using re-reference interval prediction (RRIP),W2029577083; W4253438286,2010,12
higher order functional reactive programming without spacetime leaks,2,Higher-order functional reactive programming without spacetime leaks,W2139695229; W4253774675,2013,12
how important are good method names in neural code generation a model robustness perspective,2,How Important are Good Method Names in Neural Code Generation? A Model Robustness Perspective,W4310510189; W4387869031,"2022, 2023",12
hybrid transactional memory,2,Hybrid transactional memory,W2135430119; W3088238805,2006,12
identifying cache based side channels through secret augmented abstract interpretation,2,Identifying Cache-Based Side Channels through Secret-Augmented Abstract Interpretation,W2947155194; W2965388072,2019,12
imageeye batch image processing using program synthesis,2,ImageEye: Batch Image Processing using Program Synthesis,W4362707051; W6929197077,2023,12
incorporating copying mechanism in sequence to sequence learning,2,Incorporating Copying Mechanism in Sequence-to-Sequence Learning,W2304113845; W2964165364,2016,12
indexed codata types,2,Indexed codata types,W2518300910; W3009278385,2016,12
inferring crypto api rules from code changes,2,Inferring crypto API rules from code changes,W2808620986; W3031272488,2018,12
input sensitive profiling,2,Input-sensitive profiling,W2052172035; W3007376233,2012,12
instrumentation and sampling strategies for cooperative concurrency bug isolation,2,Instrumentation and sampling strategies for cooperative concurrency bug isolation,W2049381173; W3014769903,2010,12
just in time static type checking for dynamic languages,2,Just-in-time static type checking for dynamic languages,W2341286426; W2951357319,2016,12
kendo,2,Kendo,W2122532513; W4233547058,2009,12
lambdaficator from imperative to functional programming through automated refactoring,2,LAMBDAFICATOR: from imperative to functional programming through automated refactoring,W2004771867; W4234852849,2013,12
lambdanet probabilistic type inference using graph neural networks,2,LambdaNet: Probabilistic Type Inference using Graph Neural Networks,W2995502120; W3021813414,2020,12
lazy binary splitting,2,Lazy binary-splitting,W2127523684; W3119775030,2010,12
leap,2,LEAP,W2080869721; W4234356145,2010,12
learning a static analyzer from data,2,Learning a Static Analyzer from Data,W2552878490; W2949785274,"2016, 2017",12
linearizability with ownership transfer,2,Linearizability with Ownership Transfer,W2034535157; W2169289247,"2012, 2013",12
logical reasoning for higher order functions with local state,2,Logical Reasoning for Higher-Order Functions with Local State,W1827297117; W2612400484,"2007, 2008",12
ltl to büchi automata translation fast and more deterministic,2,LTL to Büchi Automata Translation: Fast and More Deterministic,W1754034137; W2950094423,2012,12
memory safety without runtime checks or garbage collection,2,Memory safety without runtime checks or garbage collection,W2153463445; W4248542611,2003,12
minimization of symbolic automata,2,Minimization of symbolic automata,W2110117589; W3036883373,2014,12
mining software repair models for reasoning on the search space of automated program fixing,2,Mining software repair models for reasoning on the search space of automated program fixing,W2168156367; W3123680370,2013,12
mitosis compiler,2,Mitosis compiler,W2155410188; W4253095404,2005,12
mixin based inheritance,2,Mixin-based inheritance,W2115680394; W2999050649,1990,12
modal effect types,2,Modal Effect Types,W4401669034; W4409311646,"2024, 2025",12
modal logic,2,Modal logic,W2610670723; W4211144022,2001,12
model checking and abstraction,2,Model checking and abstraction,W2080593426; W2114092850,"1992, 1994",12
model driven autotuning of sparse matrix vector multiply on gpus,2,Model-driven autotuning of sparse matrix-vector multiply on GPUs,W2128539477; W4243261006,2010,12
modular and automated type soundness verification for language extensions,2,Modular and automated type-soundness verification for language extensions,W2080863863; W3009232686,2013,12
multi stage programming with functors and monads eliminating abstraction overhead from generic code,2,Multi-stage programming with functors and monads: Eliminating abstraction overhead from generic code,W2020217406; W2081276788,"2005, 2008",12
multijava,2,MultiJava,W2055970549; W2098884586,"2000, 2006",12
multirace efficient on the fly data race detection in multithreaded c programs,2,MultiRace: efficient on‐the‐fly data race detection in multithreaded C++ programs,W2141975313; W3004104485,"2006, 2007",12
natural language processing almost from scratch,2,Natural Language Processing (almost) from Scratch,W2158899491; W2952230511,2011,12
neural acceleration for general purpose approximate programs,2,Neural acceleration for general-purpose approximate programs,W2105035536; W2187230075,"2012, 2014",12
new tiling techniques to improve cache temporal locality,2,New tiling techniques to improve cache temporal locality,W1968347730; W2999265844,1999,12
normalisation by evaluation for type theory in type theory,2,"Normalisation by Evaluation for Type Theory, in Type Theory",W2562368761; W3101264733,"2016, 2017",12
on flow sensitive security types,2,On flow-sensitive security types,W2149465027; W3082507454,2006,12
on multiphase linear ranking functions,2,On Multiphase-Linear Ranking Functions,W2605065382; W2950827680,2017,12
on the design implementation and use of laziness in r,2,"On the design, implementation, and use of laziness in R",W2974426374; W3121990932,2019,12
on the power of magic,2,On the power of magic,W1978108034; W2070553391,"1987, 1991",12
optimizing sparse tensor times matrix on multi core and many core architectures,2,Optimizing sparse tensor times matrix on multi-core and many-core architectures,W2560878429; W4241741271,2016,12
pam,2,PAM,W2562123954; W4255356349,2018,12
parallelizing complex scans and reductions,2,Parallelizing complex scans and reductions,W2021235324; W4233587516,1994,12
parameterized algebraic protocols,2,Parameterized Algebraic Protocols,W4363676382; W6967129319,2023,12
parametricity in an impredicative sort,2,Parametricity in an Impredicative Sort,W1574134665; W2951295411,2012,12
partial coherence abstractions for relaxed memory models,2,Partial-coherence abstractions for relaxed memory models,W1981959925; W4248790694,2011,12
practical concurrent binary search trees via logical ordering,2,Practical concurrent binary search trees via logical ordering,W2096181137; W3088536720,2014,12
precise analysis of string expressions,2,Precise analysis of string expressions,W1809751277; W4232808412,2003,12
precise calling context encoding,2,Precise Calling Context Encoding,W2136269217; W2140147547,"2010, 2011",12
probabilistic robotics,2,Probabilistic robotics,W2336416123; W4388475847,"2002, 2009",12
production run software failure diagnosis via hardware performance counters,2,Production-run software failure diagnosis via hardware performance counters,W2102967730; W3090784367,2013,12
profile guided static typing for dynamic scripting languages,2,Profile-guided static typing for dynamic scripting languages,W2122592814; W4249990212,2009,12
program analysis is harder than verification a computability perspective,2,Program Analysis Is Harder Than Verification: A Computability Perspective,W2883500998; W2886431776,2018,12
program synthesis and semantic parsing with learned code idioms,2,Program Synthesis and Semantic Parsing with Learned Code Idioms,W2955270045; W2971291256,2019,12
proofs of randomized algorithms in coq,2,Proofs of randomized algorithms in Coq,W2154231274; W2174515752,"2006, 2009",12
quantitative analysis of consistency in nosql key value stores,2,Quantitative Analysis of Consistency in NoSQL Key-Value Stores,W2175270166; W2604995237,"2015, 2017",12
quoted staged rewriting a practical approach to library defined optimizations,2,Quoted staged rewriting: a practical approach to library-defined optimizations,W2754883653; W4233720472,2017,12
ratrace simple and efficient abstractions for bvh ray traversal algorithms,2,RaTrace: simple and efficient abstractions for BVH ray traversal algorithms,W2761057027; W4237985935,2017,12
representing control in the presence of first class continuations,2,Representing control in the presence of first-class continuations,W2114922959; W4241716134,1990,12
resugaring,2,Resugaring,W2044999110; W4237712875,2014,12
rrb vector a practical general purpose immutable sequence,2,RRB vector: a practical general purpose immutable sequence,W2036610497; W3015694766,2015,12
run time scheduling and execution of loops on message passing machines,2,Run-time scheduling and execution of loops on message passing machines,W2085809150; W3005804764,1990,12
rx,2,Rx,W2110137598; W4251521742,2005,12
safe optimisations for shared memory concurrent programs,2,Safe optimisations for shared-memory concurrent programs,W1990191223; W4246957455,2011,12
safecode,2,SAFECode,W1994759706; W4251201460,2006,12
scalable error detection using boolean satisfiability,2,Scalable error detection using boolean satisfiability,W1966982815; W3000428991,2005,12
scalable high performance main memory system using phase change memory technology,2,Scalable high performance main memory system using phase-change memory technology,W2048588974; W4234346842,2009,12
scalpel,2,Scalpel,W2657126969; W4244330903,2017,12
selective specialization for object oriented languages,2,Selective specialization for object-oriented languages,W1971014792; W3005193075,1995,12
self certification,2,Self-certification,W2054873703; W4243294044,2012,12
semantic directed clumping of disjunctive abstract states,2,Semantic-directed clumping of disjunctive abstract states,W2567537733; W3030087658,"2016, 2017",12
semantic subtyping with an smt solver,2,Semantic subtyping with an SMT solver,W2097959001; W2106142143,"2010, 2012",12
semantics and algorithms for data dependent grammars,2,Semantics and algorithms for data-dependent grammars,W1964494435; W3006987039,2010,12
semantics of higher order quantum computation via geometry of interaction,2,Semantics of Higher-Order Quantum Computation via Geometry of Interaction,W2124146342; W2533990420,"2011, 2016",12
session typed concurrent contracts,2,Session-Typed Concurrent Contracts,W2797310167; W3208692159,"2018, 2021",12
session typing and asynchronous subtyping for the higher order π calculus,2,Session typing and asynchronous subtyping for the higher-order π-calculus,W2116362715; W3096922425,2015,12
silverchain a fluent api generator,2,Silverchain: a fluent API generator,W2762430574; W4234065310,2017,12
simple accurate analytical time modeling and optimal tile size selection for gpgpu stencils,2,"Simple, Accurate, Analytical Time Modeling and Optimal Tile Size Selection for GPGPU Stencils",W2579915854; W3009247700,2017,12
simulation of quantum circuits by low rank stabilizer decompositions,2,Simulation of quantum circuits by low-rank stabilizer decompositions,W2885845431; W3106326670,2019,12
software for exact integration of polynomials over polyhedra,2,Software for exact integration of polynomials over polyhedra,W2014894062; W2571112599,2012,12
solving sequential conditions by finite state strategies,2,Solving Sequential Conditions by Finite-State Strategies,W2125267391; W4212901716,"1969, 1990",12
sound type dependent syntactic language extension,2,Sound type-dependent syntactic language extension,W2296064069; W3173633309,2016,12
space efficient closure representations,2,Space-efficient closure representations,W2057065238; W4251784901,1994,12
spore combining symmetry and partial order reduction,2,SPORE: Combining Symmetry and Partial Order Reduction,W4399850860; W6948803068,2024,12
static detection of asymptotic performance bugs in collection traversals,2,Static detection of asymptotic performance bugs in collection traversals,W2114054012; W3005620216,2015,12
steno,2,Steno,W1980590442; W4253004448,2011,12
structured neural summarization,2,Structured Neural Summarization,W2898734514; W2963015915,2018,12
synthesizing axiomatizations using logic learning,2,Synthesizing axiomatizations using logic learning,W4307731837; W6950186104,2022,12
synthesizing iterators from abstraction functions,2,Synthesizing iterators from abstraction functions,W2155780123; W2243433439,2012,12
synthesizing parallel graph programs via automated planning,2,Synthesizing parallel graph programs via automated planning,W1988144253; W3009426093,2015,12
synthesizing racy tests,2,Synthesizing racy tests,W2005335403; W4237706618,2015,12
systematic editing,2,Systematic editing,W2101723202; W4230190751,2011,12
tackling the qubit mapping problem for nisq era quantum devices,2,Tackling the Qubit Mapping Problem for NISQ-Era Quantum Devices,W2889938786; W2951000429,"2018, 2019",12
the architecture of the eden system,2,The architecture of the Eden system,W1977097393; W4237100034,1981,12
the compressor,2,The Compressor,W2156225894; W4255234786,2006,12
the csi framework for compiler inserted program instrumentation,2,The CSI Framework for Compiler-Inserted Program Instrumentation,W2780922723; W4246328121,"2017, 2018",12
the essence of compiling with traces,2,The essence of compiling with traces,W2009927426; W4240196928,2011,12
the interaction of contracts and laziness,2,The interaction of contracts and laziness,W1996450703; W2085595534,2012,12
the jastadd extensible java compiler,2,The jastadd extensible java compiler,W2070821087; W3001351914,2007,12
the yin and yang of power and performance for asymmetric hardware and managed software,2,The yin and yang of power and performance for asymmetric hardware and managed software,W2095995766; W3146780642,2012,12
timed runtime monitoring for multiparty conversations,2,Timed runtime monitoring for multiparty conversations,W1989371806; W2762008287,"2014, 2017",12
toward general diagnosis of static errors,2,Toward general diagnosis of static errors,W2045041259; W4232898148,2014,12
tracking load time configuration options,2,Tracking load-time configuration options,W2073869982; W2760679152,"2014, 2017",12
trading t gates for dirty qubits in state preparation and unitary synthesis,2,Trading T gates for dirty qubits in state preparation and unitary synthesis,W2902431979; W4289147395,"2018, 2024",12
transactions in relaxed memory architectures,2,Transactions in relaxed memory architectures,W2779780123; W2898628115,"2017, 2018",12
transforming spreadsheet data types using examples,2,Transforming spreadsheet data types using examples,W2293101314; W3086152181,2016,12
transporting functions across ornaments,2,Transporting functions across ornaments,W2055372384; W2109775380,"2012, 2014",12
type based race detection for java,2,Type-based race detection for Java,W2109875364; W4241124529,2000,12
typed compilation of recursive datatypes,2,Typed compilation of recursive datatypes,W2140339738; W4247125286,2003,12
typedevil dynamic type inconsistency analysis for javascript,2,TypeDevil: dynamic type inconsistency analysis for JavaScript,W2038461625; W4240995061,2015,12
typestate like analysis of multiple interacting objects,2,Typestate-like analysis of multiple interacting objects,W2156881251; W4234858006,2008,12
unifiers as equivalences proof relevant unification of dependently typed data,2,Unifiers as equivalences: proof-relevant unification of dependently typed data,W2513071761; W3005677913,2016,12
using likely invariants for automated software fault localization,2,Using likely invariants for automated software fault localization,W2121204404; W4250380851,2013,12
validation of modern json schema formalization and complexity,2,Validation of Modern JSON Schema: Formalization and Complexity,W4384919756; W6948915137,2023,12
vbr version based reclamation,2,VBR: Version Based Reclamation,W3174400449; W3186822456,2021,12
verification and change impact analysis of access control policies,2,Verification and change-impact analysis of access-control policies,W2146356111; W4247999361,2005,12
verified causal broadcast with liquid haskell,2,Verified Causal Broadcast with Liquid Haskell,W4283765018; W4327630827,2022,12
verified validation of lazy code motion,2,Verified validation of lazy code motion,W2042220347; W3046391418,2009,12
verifying relative safety accuracy and termination for program approximations,2,"Verifying Relative Safety, Accuracy, and Termination for Program Approximations",W2467947344; W2738309652,"2016, 2017",12
virtual classes a powerful mechanism in object oriented programming,2,Virtual Classes - a powerful mechanism in object-oriented programming,W1926831376; W2056821525,1989,12
voc a methodology for the translation validation of optimizingcompilers,2,VOC: A Methodology for the Translation Validation of OptimizingCompilers,W2098293014; W4292002172,"2003, 2020",12
what is decidable about gradual types,2,What is decidable about gradual types?,W2996400815; W4230238662,2019,12
when less is more consequence finding in a weak theory of arithmetic,2,When Less Is More: Consequence-Finding in a Weak Theory of Arithmetic,W4308670145; W4315630873,"2022, 2023",12
a relational model of data for large shared data banks,2,A relational model of data for large shared data banks,W2165467455; W2185907055,"1970, 1983",11
abstract interpretation of programs as markov decision processes,2,Abstract interpretation of programs as Markov decision processes,W3030098241; W4233556240,2005,11
automatic software repair,2,Automatic software repair,W2807730630; W4288614128,2018,11
better defunctionalization through lambda set specialization,2,Better Defunctionalization through Lambda Set Specialization,W4379512394; W6894208021,2023,11
constructive mathematics and computer programming,2,Constructive mathematics and computer programming,W2106718208; W2124798629,"1982, 1984",11
dependent types from counterexamples,2,Dependent types from counterexamples,W1973094460; W3028156246,2010,11
eventually consistent,2,Eventually consistent,W2341655714; W3083050090,2008,11
fundamentals of session types,2,Fundamentals of Session Types,W1651415197; W2080718905,"2009, 2012",11
generic programming with dependent types,2,Generic Programming with Dependent Types,W1614164110; W44613125,"2007, 2012",11
higher order demand driven program analysis,2,Higher-Order Demand-Driven Program Analysis,W2559098921; W2954535803,"2016, 2019",11
higher order linearisability,2,Higher-Order Linearisability,W2544417439; W3022736191,2017,11
islands,2,Islands,W2049984112; W4234055316,1991,11
on hoare logic and kleene algebra with tests,2,On Hoare logic and Kleene algebra with tests,W2010626618; W2109517606,"2000, 2003",11
probability with martingales,2,Probability with martingales,W1602844557; W4230058301,"1991, 1992",11
provably good scheduling for parallel programs that use data structures through implicit batching,2,Provably good scheduling for parallel programs that use data structures through implicit batching,W2060675879; W2106984698,2014,11
real world ocaml functional programming for the masses,2,Real World OCaml: Functional Programming for the Masses,W4296694382; W7005497641,"2014, 2022",11
spl,2,SPL,W2072277531; W2591953675,"2001, 2017",11
tutorial on static inference of numeric invariants by abstract interpretation,2,Tutorial on Static Inference of Numeric Invariants by Abstract Interpretation,W2771629016; W4300171176,2017,11
universal coalgebra a theory of systems,2,Universal coalgebra: a theory of systems,W2088189323; W2613512071,"1996, 2000",11
a core model for choreographic programming,2,A core model for choreographic programming,W2962520317; W3037922846,"2017, 2019",10
a hierarchical model of data locality,2,A hierarchical model of data locality,W1975229999; W3215956281,2006,10
a linear logical framework,2,A linear logical framework,W2107905351; W3181070739,2002,10
a new notation for arrows,2,A new notation for arrows,W2116435685; W3030938094,2001,10
a parameterized type system for race free java programs,2,A parameterized type system for race-free Java programs,W2103957752; W3001459306,2001,10
a simple verified validator for software pipelining,2,"A simple, verified validator for software pipelining",W1988233180; W3132682100,2010,10
a type theoretic foundation for programming with higher order abstract syntax and first class substitutions,2,A type-theoretic foundation for programming with higher-order abstract syntax and first-class substitutions,W2039769798; W3120062901,2008,10
a verified compiler for an impure functional language,2,A verified compiler for an impure functional language,W2091345373; W3175944920,2010,10
actors a model of concurrent computation in distributed systems,2,Actors: A Model of Concurrent Computation in Distributed Systems,W2072794470; W313326426,"1986, 1988",10
an adaptive performance modeling tool for gpu architectures,2,An adaptive performance modeling tool for GPU architectures,W2113282196; W4250047567,2010,10
an analysis of x86 64 inline assembly in c programs,2,An Analysis of x86-64 Inline Assembly in C Programs,W2792743585; W3005663811,2018,10
an effective fusion and tile size model for optimizing image processing pipelines,2,An effective fusion and tile size model for optimizing image processing pipelines,W2788111881; W3005576069,2018,10
analyzing memory accesses in x86 executables,2,Analyzing Memory Accesses in x86 Executables,W1582456956; W4232757557,"2004, 2006",10
architecture adaptive code variant tuning,2,Architecture-Adaptive Code Variant Tuning,W2329047703; W4249999659,2016,10
artifact for paper submission checking δ satisfiability of reals with integrals,2,"Artifact for Paper Submission ""Checking 𝛿-Satisfiability of Reals with Integrals""",W6930755843; W6968473593,2025,10
artifact for qblaze an efficient and scalable sparse quantum simulator,2,"Artifact for ""qblaze: An Efficient and Scalable Sparse Quantum Simulator""",W7077158189; W7077164894,2025,10
auto encoding variational bayes,2,Auto-Encoding Variational Bayes,W1959608418; W4391602018,"2013, 2024",10
automatic generation of peephole optimizations,2,Automatic generation of peephole optimizations,W1996892501; W4233013357,"1984, 2004",10
automating deductive verification for weak memory programs,2,Automating Deductive Verification for Weak-Memory Programs,W2605169925; W2951416506,"2017, 2018",10
back to the future,2,Back to the future,W1979619055; W4254561751,2008,10
bayesian learning of sum product networks,2,Bayesian Learning of Sum-Product Networks,W2945431146; W2970804616,2019,10
behavioral similarity matching using concrete source code templates in logic queries,2,Behavioral similarity matching using concrete source code templates in logic queries,W1990727091; W3127747493,2007,10
borel structures for function spaces,2,Borel structures for function spaces,W1014828772; W1532374486,"1961, 1971",10
call by push value a subsuming paradigm,2,Call-by-Push-Value: A Subsuming Paradigm,W1545449210; W4229498389,"1999, 2003",10
capriccio,2,Capriccio,W2167756215; W4252120627,2003,10
chianti,2,Chianti,W2038899190; W4249233413,2004,10
collapsing towers of interpreters,2,Collapsing towers of interpreters,W2777619085; W2898762873,"2017, 2018",10
combining programming with theorem proving,2,Combining programming with theorem proving,W2134801812; W3029425656,2005,10
componential set based analysis,2,Componential set-based analysis,W2034379323; W2999264287,"1997, 1999",10
compositional solution space quantification for probabilistic software analysis,2,Compositional solution space quantification for probabilistic software analysis,W2109892325; W4252889632,2014,10
conditional must not aliasing for static race detection,2,Conditional must not aliasing for static race detection,W2096475201; W4229635525,2007,10
consistency in non transactional distributed storage systems,2,Consistency in Non-Transactional Distributed Storage Systems,W2186001977; W2952983874,"2015, 2016",10
continuations and transducer composition,2,Continuations and transducer composition,W2130267274; W4235724843,2006,10
correcting sample selection bias by unlabeled data,2,Correcting Sample Selection Bias by Unlabeled Data,W2112483442; W2811380766,2007,10
creating and preserving locality of java applications at allocation and garbage collection times,2,Creating and preserving locality of java applications at allocation and garbage collection times,W2000931227; W4243903895,2002,10
darwinian data structure selection,2,Darwinian data structure selection,W2624813485; W3100025638,2018,10
deciding i k i cfa is complete for exptime,2,Deciding <i>k</i> CFA is complete for EXPTIME,W1973120448; W2953089209,2008,10
decision trees for entity identification,2,Decision trees for entity identification,W1983231745; W2154838933,"2007, 2011",10
declaring and checking non null types in an object oriented language,2,Declaring and checking non-null types in an object-oriented language,W2125044336; W4253701986,2003,10
demand driven software race detection using hardware performance counters,2,Demand-driven software race detection using hardware performance counters,W2128717053; W4248238279,2011,10
dependent partitioning,2,Dependent partitioning,W2536203406; W4231715478,2016,10
dissection of a bug dataset anatomy of 395 patches from defects4j,2,Dissection of a bug dataset: Anatomy of 395 patches from Defects4J,W2784445699; W3103458892,2018,10
domain theory,2,Domain theory,W2914212232; W4388298908,1995,10
dryad,2,Dryad,W2100830825; W4239429564,2007,10
dynamic and adaptive calling context encoding,2,Dynamic and Adaptive Calling Context Encoding,W2057718941; W4211069212,2014,10
dynamic multirole session types,2,Dynamic multirole session types,W2075426808; W4240807674,2011,10
dynamic race detection for c 11,2,Dynamic race detection for C++11,W2556205142; W4243984190,"2016, 2017",10
dynamics in ml,2,Dynamics in ML,W1535296962; W2117552698,"1991, 1993",10
efficient building and placing of gating functions,2,Efficient building and placing of gating functions,W2101430044; W3003065932,1995,10
exploiting superword level parallelism with multimedia instruction sets,2,Exploiting superword level parallelism with multimedia instruction sets,W2111394443; W3016220765,2000,10
extracting queries by static analysis of transparent persistence,2,Extracting queries by static analysis of transparent persistence,W2153876009; W4247541922,2007,10
first class runtime generation of high performance types using exotypes,2,First-class runtime generation of high-performance types using exotypes,W2137406503; W3013026118,2014,10
first three years of the international verification of neural networks competition vnn comp,2,First Three Years of the International Verification of Neural Networks Competition (VNN-COMP),W4317437650; W4381571085,2023,10
fix the code don t tweak the hardware,2,Fix the code. Don't tweak the hardware,W2167850096; W4238437267,2014,10
